onset	duration	trial_type	offset	trial	block	blockCntr	frequency	amplitude_1	amplitude_2	amplitude_3	amplitude_4	amplitude_5	amplitude_6	amplitude_7	amplitude_8	transition	sham	mode	rewardFraction	guess	outcome	correct	word	when	answer	runNr	scanNr	subjectNr	target	reactionTime	outcomeEyeClosed	outcomePupilArea	outcomeDilation	guessEyeClosed	guessPupilArea	guessDilation	nrBlinks	trialInBlock	isReward	isPanas	isPunish	beforePanasReward	beforePanasVLPFC
20.3300340168476	2.55098325395584	reward_vlpfc	22.8810172708035	1	2	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	0.75	1	7	1	n/a	n/a	n/a	3	10	235	VLPFC	840.219877719879	0	1996.30212234707	-0.42375	0.0906994619523444	2186.11327134404	-0.123519458544839	2	1	1	0	0	0	0
23.8699373505116	2.5471471376419	reward_vlpfc	26.4170844881535	2	2	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	0.75	1	1	-1	n/a	n/a	n/a	3	10	235	VLPFC	269.726344823837	0.374531835205993	1934.83832335329	0.0901803607214429	0	1659.04842428901	0.391538461538462	1	2	1	0	0	0	0
27.4095282659531	2.5107676782608	reward_vlpfc	29.9202959442139	3	2	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	0.75	1	7	1	n/a	n/a	n/a	3	10	235	VLPFC	252.847996473312	0.374531835205993	1622.80239520958	-0.597194388777555	0	1503.51575710992	0.337692307692308	1	3	1	0	0	0	0
30.9246969525814	2.53142396116257	reward_vlpfc	33.456120913744	4	2	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	0.75	1	7	1	n/a	n/a	n/a	3	10	235	VLPFC	403.094774961472	0	1472.25093632959	-0.14375	0	1324.38201383551	0.311538461538462	0	4	1	0	0	0	0
34.4624031319618	2.51321095871926	reward_vlpfc	36.9756140906811	5	2	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	0.75	1	8	1	n/a	n/a	n/a	3	10	235	VLPFC	439.830729722977	0	1602.29962546816	-0.33125	0.230591852421214	1673.91508491508	0.129129129129129	1	5	1	0	0	0	0
37.9816152732372	2.56391018033028	reward_vlpfc	40.5455254535675	6	2	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	0.75	1	6	1	n/a	n/a	n/a	3	10	235	VLPFC	296.804482460022	0	1511.13108614232	0.14375	0	1320.16295157571	0.286923076923077	0	6	1	0	0	0	0
41.5522618420124	2.51281461763382	reward_vlpfc	44.0650764596462	7	2	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	0.75	1	7	1	n/a	n/a	n/a	3	10	235	VLPFC	388.645250320435	0	1582.78401997503	-0.23375	0	1527.10991544965	0.366923076923077	0	7	1	0	0	0	0
45.0739398317337	2.54396829819679	reward_vlpfc	47.6179081299305	8	2	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	0.75	1	1	-1	n/a	n/a	n/a	3	10	235	VLPFC	288.140691041946	0.218476903870162	1503.25239616613	-0.048	0	1332.73558800922	0.184615384615385	1	8	1	0	0	0	0
48.6408768730164	6.09915615320205	panas_none	54.7400330262184	9	5	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	proud	At this moment	3	3	10	235	NONE	n/a	0	1171.02746566792	0.145	0.337432744043044	1472.30046403712	-0.37906976744186	5	1	0	1	0	1	1
55.7414519553185	6.02096023893356	panas_none	61.762412194252	10	5	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	strong	At this moment	4	3	10	235	NONE	n/a	0	1612.04369538077	-0.265	0	1725.50653343582	0.0230769230769231	6	2	0	1	0	1	1
