onset	duration	trial_type	offset	trial	block	blockCntr	frequency	amplitude_1	amplitude_2	amplitude_3	amplitude_4	amplitude_5	amplitude_6	amplitude_7	amplitude_8	transition	sham	mode	rewardFraction	guess	outcome	correct	word	when	answer	runNr	scanNr	subjectNr	target	reactionTime	outcomeEyeClosed	outcomePupilArea	outcomeDilation	guessEyeClosed	guessPupilArea	guessDilation	nrBlinks	trialInBlock	isReward	isPanas	isPunish	beforePanasReward	beforePanasVLPFC
20.3359148415923	2.51412036716938	reward_rtpj	22.8500352087617	1	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	0.75	1	7	1	n/a	n/a	n/a	3	11	208	RTPJ	-31163.3822166324	0.244694132334582	1187.24297520661	-0.370860927152318	0.342813220599539	1297.5134502924	0.324736225087925	5	1	1	0	0	0	0
23.8509252138436	2.51862822154164	reward_rtpj	26.3695534353852	2	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	0.75	1	0	-1	n/a	n/a	n/a	3	11	208	RTPJ	324.53836274147	0.374531835205993	1138.92415169661	-0.318637274549098	0	1072.74404304381	0.544615384615385	1	2	1	0	0	0	0
27.3703916057348	2.51871214437485	reward_rtpj	29.8891037501097	3	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	0.75	1	10	1	n/a	n/a	n/a	3	11	208	RTPJ	457.679449379444	0.400749063670412	1061.61458333333	0.039832285115304	0	1142.99846272098	0.440769230769231	1	3	1	0	0	0	0
30.8731704031527	2.51877596801519	reward_rtpj	33.3919463711679	4	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	0.75	1	10	1	n/a	n/a	n/a	3	11	208	RTPJ	524.903039187193	0.385767790262172	996.111788617886	0.0469387755102041	0	1025.4757878555	0.469230769230769	1	4	1	0	0	0	0
34.376016903013	2.51877843636274	reward_rtpj	36.8947953393757	5	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	0.75	1	10	1	n/a	n/a	n/a	3	11	208	RTPJ	541.904462695122	0	823.941323345818	-0.00125	0	954.970791698693	0.273076923076923	0	5	1	0	0	0	0
37.8989526925385	2.51551461437344	reward_rtpj	40.4144673069119	6	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	0.75	1	0	-1	n/a	n/a	n/a	3	11	208	RTPJ	487.009417355061	0	1022.20224719101	-0.3	0	883.930822444274	0.381538461538462	0	6	1	0	0	0	0
41.4151605517566	2.51870579725504	reward_rtpj	43.9338663490117	7	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	0.75	-1	2	1	n/a	n/a	n/a	3	11	208	RTPJ	1472.54683545232	0	931.614232209738	-0.15875	0	958.637970791699	0.383076923076923	0	7	1	0	0	0	0
44.9346731364727	2.51881757682562	reward_rtpj	47.4534907132983	8	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	0.75	-1	1	1	n/a	n/a	n/a	3	11	208	RTPJ	1472.08772826195	0	1053.60424469413	-0.17875	0	1041.24365872406	0.333076923076923	1	8	1	0	0	0	0
48.4576741600931	6.01811005106568	panas_none	54.4757842111588	9	5	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	upset	At this moment	1	3	11	208	NONE	n/a	0	587.595505617978	0.165	0	582.596464258263	-0.150769230769231	2	1	0	1	0	1	0
55.476511659801	6.02171309044957	panas_none	61.4982247502506	10	5	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	jittery	At this moment	4	3	11	208	NONE	n/a	0	799.548064918851	0.1175	0	765.99615680246	0.0253846153846154	3	2	0	1	0	1	0
