subject	runNr	blockCntr	isPositive	isReward	target	groupCount	answer
189	1	2	0	0	VLPFC	2	35
189	1	2	1	0	VLPFC	1	40
189	1	4	0	1	VLPFC	2	25
189	1	4	1	1	VLPFC	1	30
189	1	6	0	0	RTPJ	3	20
189	1	8	0	0	VLPFC	2	30
189	1	8	1	0	VLPFC	1	30
189	1	10	0	1	VLPFC	3	20
189	1	12	0	1	RTPJ	2	25
189	1	12	1	1	RTPJ	1	50
189	1	14	0	1	RTPJ	2	25
189	1	14	1	1	RTPJ	1	50
189	1	16	0	0	RTPJ	2	25
189	1	16	1	0	RTPJ	1	30
189	2	2	0	0	RTPJ	3	23.3333333333333
189	2	4	0	1	RTPJ	2	20
189	2	4	1	1	RTPJ	1	20
189	2	6	0	0	RTPJ	1	20
189	2	6	1	0	RTPJ	2	25
189	2	8	0	0	VLPFC	1	10
189	2	8	1	0	VLPFC	2	20
189	2	10	1	1	VLPFC	3	26.6666666666667
189	2	12	0	1	RTPJ	2	20
189	2	12	1	1	RTPJ	1	20
189	2	14	0	0	VLPFC	1	20
189	2	14	1	0	VLPFC	2	20
189	2	16	0	1	VLPFC	2	15
189	2	16	1	1	VLPFC	1	30
189	3	2	0	1	VLPFC	2	10
189	3	2	1	1	VLPFC	1	30
189	3	4	1	1	VLPFC	3	23.3333333333333
189	3	6	0	1	RTPJ	3	10
189	3	8	0	1	RTPJ	2	15
189	3	8	1	1	RTPJ	1	30
189	3	10	0	0	VLPFC	2	20
189	3	10	1	0	VLPFC	1	20
189	3	12	0	0	VLPFC	3	10
189	3	14	0	0	RTPJ	1	20
189	3	14	1	0	RTPJ	2	15
189	3	16	0	0	RTPJ	1	20
189	3	16	1	0	RTPJ	2	15
203	1	2	0	1	VLPFC	2	10
203	1	2	1	1	VLPFC	1	40
203	1	4	0	1	RTPJ	1	10
203	1	4	1	1	RTPJ	2	45
203	1	6	0	1	RTPJ	2	10
203	1	6	1	1	RTPJ	1	50
203	1	8	0	0	VLPFC	1	10
203	1	8	1	0	VLPFC	2	45
203	1	10	0	0	RTPJ	1	10
203	1	10	1	0	RTPJ	2	45
203	1	12	0	0	VLPFC	2	10
203	1	12	1	0	VLPFC	1	50
203	1	14	0	0	RTPJ	1	10
203	1	14	1	0	RTPJ	2	45
203	1	16	1	1	VLPFC	3	43.3333333333333
203	2	2	0	0	VLPFC	3	16.6666666666667
203	2	4	0	0	VLPFC	2	10
203	2	4	1	0	VLPFC	1	40
203	2	6	1	0	RTPJ	3	46.6666666666667
203	2	8	0	1	RTPJ	2	10
203	2	8	1	1	RTPJ	1	50
203	2	10	0	0	RTPJ	2	10
203	2	10	1	0	RTPJ	1	40
203	2	12	0	1	VLPFC	2	10
203	2	12	1	1	VLPFC	1	40
203	2	14	0	1	RTPJ	3	10
203	2	16	0	1	VLPFC	2	10
203	2	16	1	1	VLPFC	1	40
203	3	2	0	1	VLPFC	2	10
203	3	2	1	1	VLPFC	1	40
203	3	4	0	0	RTPJ	1	20
203	3	4	1	0	RTPJ	2	35
203	3	6	0	1	VLPFC	1	10
203	3	6	1	1	VLPFC	2	35
203	3	8	0	1	RTPJ	2	10
203	3	8	1	1	RTPJ	1	30
203	3	10	0	0	VLPFC	1	40
203	3	10	1	0	VLPFC	2	30
203	3	12	0	0	RTPJ	1	20
203	3	12	1	0	RTPJ	2	30
203	3	14	0	0	VLPFC	2	15
203	3	14	1	0	VLPFC	1	30
203	3	16	0	1	RTPJ	3	13.3333333333333
207	1	2	0	1	RTPJ	2	30
207	1	2	1	1	RTPJ	1	20
207	1	4	0	1	RTPJ	1	20
207	1	4	1	1	RTPJ	2	25
207	1	6	0	1	VLPFC	1	20
207	1	6	1	1	VLPFC	2	30
207	1	8	0	1	VLPFC	3	20
207	1	10	0	0	VLPFC	2	25
207	1	10	1	0	VLPFC	1	40
207	1	12	0	0	RTPJ	2	40
207	1	12	1	0	RTPJ	1	40
207	1	14	0	0	VLPFC	3	26.6666666666667
207	1	16	0	0	RTPJ	2	10
207	1	16	1	0	RTPJ	1	10
207	2	2	0	0	RTPJ	1	40
207	2	2	1	0	RTPJ	2	15
207	2	4	0	1	VLPFC	1	20
207	2	4	1	1	VLPFC	2	45
207	2	6	0	1	VLPFC	3	26.6666666666667
207	2	8	0	1	RTPJ	2	15
207	2	8	1	1	RTPJ	1	50
207	2	10	0	0	RTPJ	3	13.3333333333333
207	2	12	0	1	RTPJ	1	10
207	2	12	1	1	RTPJ	2	30
207	2	14	0	0	VLPFC	2	50
207	2	14	1	0	VLPFC	1	40
207	2	16	1	0	VLPFC	3	16.6666666666667
208	1	2	0	0	RTPJ	2	45
208	1	2	1	0	RTPJ	1	30
208	1	4	0	0	RTPJ	2	40
208	1	4	1	0	RTPJ	1	30
208	1	6	1	1	VLPFC	3	30
208	1	8	0	1	RTPJ	1	30
208	1	8	1	1	RTPJ	2	45
208	1	10	0	1	RTPJ	2	25
208	1	10	1	1	RTPJ	1	30
208	1	12	0	0	VLPFC	1	30
208	1	12	1	0	VLPFC	2	25
208	1	14	0	1	VLPFC	2	20
208	1	14	1	1	VLPFC	1	30
208	1	16	0	0	VLPFC	2	30
208	1	16	1	0	VLPFC	1	40
208	2	2	0	0	VLPFC	2	15
208	2	2	1	0	VLPFC	1	50
208	2	4	0	1	RTPJ	1	30
208	2	4	1	1	RTPJ	2	45
208	2	6	0	0	RTPJ	1	10
208	2	6	1	0	RTPJ	2	50
208	2	8	0	1	RTPJ	1	10
208	2	8	1	1	RTPJ	2	50
208	2	10	0	0	VLPFC	2	10
208	2	10	1	0	VLPFC	1	30
208	2	12	0	1	VLPFC	2	25
208	2	12	1	1	VLPFC	1	30
208	2	14	0	1	VLPFC	2	25
208	2	14	1	1	VLPFC	1	40
208	2	16	0	0	RTPJ	2	35
208	2	16	1	0	RTPJ	1	30
208	3	2	0	1	RTPJ	3	26.6666666666667
208	3	4	0	0	VLPFC	2	25
208	3	4	1	0	VLPFC	1	40
208	3	6	0	1	VLPFC	1	10
208	3	6	1	1	VLPFC	2	40
208	3	8	0	0	RTPJ	1	30
208	3	8	1	0	RTPJ	2	40
208	3	10	0	1	RTPJ	2	25
208	3	10	1	1	RTPJ	1	40
208	3	12	0	0	VLPFC	2	15
208	3	12	1	0	VLPFC	1	20
208	3	14	0	1	VLPFC	2	25
208	3	14	1	1	VLPFC	1	40
208	3	16	1	0	RTPJ	3	40
209	1	2	0	0	VLPFC	1	20
209	1	2	1	0	VLPFC	2	35
209	1	4	0	0	RTPJ	2	30
209	1	4	1	0	RTPJ	1	30
209	1	6	0	0	VLPFC	2	25
209	1	6	1	0	VLPFC	1	40
209	1	8	0	1	RTPJ	1	30
209	1	8	1	1	RTPJ	2	30
209	1	10	0	0	RTPJ	2	10
209	1	10	1	0	RTPJ	1	40
209	1	12	0	1	RTPJ	1	10
209	1	12	1	1	RTPJ	2	30
209	1	14	0	1	VLPFC	2	10
209	1	14	1	1	VLPFC	1	30
209	1	16	0	1	VLPFC	1	30
209	1	16	1	1	VLPFC	2	35
209	2	2	0	0	RTPJ	3	16.6666666666667
209	2	4	0	1	VLPFC	1	20
209	2	4	1	1	VLPFC	2	30
209	2	6	0	1	VLPFC	3	13.3333333333333
209	2	8	0	0	RTPJ	2	20
209	2	8	1	0	RTPJ	1	30
209	2	10	0	1	RTPJ	2	20
209	2	10	1	1	RTPJ	1	30
209	2	12	0	1	RTPJ	3	16.6666666666667
209	2	14	0	0	VLPFC	3	16.6666666666667
209	2	16	0	0	VLPFC	3	13.3333333333333
209	3	2	0	1	RTPJ	1	30
209	3	2	1	1	RTPJ	2	45
209	3	4	0	0	RTPJ	2	15
209	3	4	1	0	RTPJ	1	30
209	3	6	1	1	VLPFC	3	33.3333333333333
209	3	8	0	0	VLPFC	2	20
209	3	8	1	0	VLPFC	1	20
209	3	10	0	0	VLPFC	1	10
209	3	10	1	0	VLPFC	2	20
209	3	12	0	1	RTPJ	3	10
209	3	14	0	1	VLPFC	1	20
