sub,run,trial,act_IFG,act_SMA,act_lVLPFC,act_rVLPFC,act_thalamus,conn_leftVS_LPFC,conn_leftVS_dACC,conn_leftVS_visual,conn_rFPN_VLPFC,conn_rFPN_precun,conn_rightVS_dACC,conn_rightVS_dPrecun,conn_rightVS_vPrecun
219,3,1,-0.37362,-0.24803,-0.91782,-0.58191,-0.73791,-0.098962,-0.31538,0.11121,-0.34893,0.29667,-0.109,0.34447,0.030531
219,3,2,0.48897,-1.5795,-0.45257,0.010042,-0.94633,-0.45714,0.070049,-0.41769,0.071789,-0.35887,-0.43303,0.19287,-0.32727
219,3,3,0.95942,-0.56468,1.3001,1.0046,-0.044646,-0.13674,0.14103,-0.67607,0.42843,-0.70175,-0.28886,0.11532,0.30357
219,3,4,0.58547,-0.48157,0.56694,0.8862,1.6,0.33836,-0.37642,-0.012197,0.23444,0.023745,0.78519,0.24275,0.58098
219,3,5,0.25978,-0.23925,-1.3796,-0.66348,0.66665,0.057477,-0.75544,0.75645,0.82955,-0.74213,1.9023,-0.99939,0.16547
219,3,6,1.2981,1.5435,-0.33688,1.3435,1.1573,0.20292,0.82649,-1.1353,0.24668,0.29185,1.0514,-2.1287,0.65663
219,3,7,1.2065,1.2152,1.2525,1.3174,1.7781,-0.12382,0.61687,-0.19274,-0.23844,0.92678,-1.419,-1.132,-0.29703
219,3,8,0.12768,0.27232,0.78507,0.69586,0.6309,-0.94772,0.29706,-0.09924,0.013954,1.2953,-1.0049,-0.74154,-1.0269
219,3,9,-1.1462,-1.1039,-0.74377,-0.3881,-0.8214,-1.626,-0.039798,-0.8938,-0.73007,-0.68014,0.75393,-0.38558,0.88623
219,3,10,0.28689,-0.89182,-0.50475,-0.51228,-0.71356,0.60552,-0.56974,-0.18186,0.18226,0.17301,0.41067,-0.16025,0.096811
219,3,11,0.36396,-0.61949,0.20179,-0.35424,0.25066,0.16548,-1.0145,1.1981,0.2741,0.54534,0.68154,0.59391,0.65683
219,3,12,0.81975,1.215,0.92574,-0.30242,0.85303,-0.0025575,-0.33856,0.70352,0.81265,-0.58075,0.40065,0.058515,0.049548
219,3,13,0.18536,1.9925,0.47544,0.22914,0.77358,-0.026898,0.57809,0.13838,0.39585,-0.59293,0.4386,0.76063,0.71737
219,3,14,-0.061089,0.99765,0.43123,0.50978,0.60361,-0.20827,-0.33087,0.027819,-0.65374,0.32723,-0.59548,0.3601,0.091142
219,3,15,-0.74518,0.38004,-0.032246,-0.36538,0.88701,0.30008,-0.095297,-0.003491,-0.63159,-0.18503,-1.6958,-0.064578,-0.46049
