sub,run,trial,act_IFG,act_SMA,act_lVLPFC,act_rVLPFC,act_thalamus,conn_leftVS_LPFC,conn_leftVS_dACC,conn_leftVS_visual,conn_rFPN_VLPFC,conn_rFPN_precun,conn_rightVS_dACC,conn_rightVS_dPrecun,conn_rightVS_vPrecun
215,2,1,-0.7354,-0.18647,1.6396,0.29882,0.82854,0.41483,-0.016151,0.12545,-0.60856,0.47242,-0.20806,0.40184,0.67675
215,2,2,-0.66832,-0.82173,0.3491,0.27105,0.53626,1.0472,-0.05146,-0.41632,-0.40858,0.38306,0.3661,0.13351,0.41442
215,2,3,-1.0297,-1.4782,-0.27432,0.37828,-0.72243,1.1109,-0.44525,-0.17998,0.20042,0.47371,0.91022,-0.18826,-0.3889
215,2,4,-0.61685,-1.3196,0.052708,0.82347,-0.9457,-0.22556,0.0059,-0.16743,0.47501,0.79105,0.41572,-0.056121,0.1352
215,2,5,-0.056056,-1.2747,-0.059656,-0.34285,-1.3541,-1.1747,-0.28488,0.18835,-0.027104,1.2207,-1.2172,0.19807,-1.1154
215,2,6,0.19222,-0.29819,0.15297,-1.0325,-0.94581,-0.91612,0.052103,-0.56121,0.20996,-1.1686,-1.0663,-0.0028177,-0.86339
215,2,7,0.27194,1.0589,1.568,-0.59044,-0.44809,0.65268,0.034935,-0.9998,0.2389,-0.94672,0.076629,-0.21942,1.2022
215,2,8,0.98072,0.12568,1.8319,1.4158,-0.079296,-0.83114,-0.041604,-0.93317,1.0804,-0.4751,-0.066508,-1.268,0.13525
215,2,9,-0.53827,-0.90097,1.3065,0.50319,0.27934,-0.12874,0.27315,-1.2493,-0.41599,0.14374,0.46602,0.50171,-0.039015
215,2,10,-0.47573,-0.75505,0.02809,0.55914,-0.071377,0.12936,0.35048,-0.55681,0.039251,0.81295,0.77555,0.28373,0.048997
215,2,11,-0.34412,-0.844,-1.2007,0.21704,-0.41842,0.34419,0.7566,-0.48261,-0.90763,0.66284,-0.013255,0.58489,0.62703
215,2,12,-0.69316,-1.3923,-1.6242,0.60573,-0.93875,-0.082984,0.73712,-0.31753,-0.044212,-0.59672,-1.0307,0.97152,1.1462
215,2,13,-0.49463,-1.8419,0.40821,0.9883,-0.30599,-0.76161,0.45181,-0.45827,-0.32278,-1.0869,-0.41582,0.89415,0.039652
215,2,14,-0.10735,-1.7673,1.5472,1.5617,0.035887,-0.66193,0.17388,0.48742,-0.21242,-0.88291,0.15824,0.029296,-0.17599
215,2,15,1.0736,-0.76865,0.37359,-0.14947,0.17452,-0.10153,0.089389,0.12859,0.50607,0.90956,0.49358,-1.6586,-0.67386
215,2,16,0.79807,-0.70947,0.36131,-1.4506,-0.32332,0.013323,0.17614,0.41818,1.0223,1.178,-0.42839,0.40631,1.2564
215,2,17,1.166,-0.96974,1.5067,0.11126,1.2301,-0.50713,0.92656,1.0403,-0.77904,0.015306,-0.82448,0.45981,0.76984
215,2,18,0.73096,-0.37566,1.8235,0.19391,1.0717,-0.70063,-0.48867,0.25373,-0.25808,0.30567,-0.13024,0.245,0.31077
215,2,19,-0.38931,0.42263,1.3362,0.44913,0.80551,-0.41657,-0.95033,-0.44242,-0.74792,-0.16705,-0.16433,0.79304,0.81475
