sub,run,trial,act_leftVLPFC,act_PCC,act_rightVLPFC,act_preSMA,act_thalamus,act_rightParietal,conn_leftVLPFC_DLPFC,conn_leftVLPFC_MPFC,conn_leftVLPFC_PCC,conn_leftVS_visual,conn_rightVS_DLPFC
232,3,1,-0.074664,0.27946,0.56396,0.2354,-0.47144,0.028689,-0.80772,1.381,0.08911,0.77683,1.4499
232,3,2,-0.11513,0.28107,1.3748,-0.39035,-0.17997,0.33121,-1.1955,-0.045014,0.80056,0.63914,-0.49307
232,3,3,0.063693,0.42393,0.74741,0.22951,0.113,0.9181,-0.54062,-1.074,-0.15626,0.069739,-0.20765
232,3,4,-1.0941,0.33497,-0.80399,-0.85656,0.34292,0.86085,0.63423,-0.57435,-0.96151,-0.48379,-0.55488
232,3,5,-1.6333,0.63896,-1.0371,-0.9107,0.20188,0.63287,0.51281,-0.59328,-0.30479,0.051663,-0.75789
232,3,6,-0.48712,1.9341,0.18106,-0.40836,-0.39436,0.8172,0.37784,-0.5724,-0.34449,-0.65959,0.0564
232,3,7,0.48665,1.7282,0.35326,-1.1063,-0.011462,0.64908,-0.16084,0.46198,0.99386,-1.0766,0.13887
232,3,8,0.3916,1.2905,0.0048838,-1.3878,0.52878,0.56769,-0.23641,0.64746,1.6103,-0.4055,0.0072504
232,3,9,-0.26005,-0.036275,0.84105,0.47444,0.18061,-0.28796,-0.072952,0.591,-0.011105,-0.80165,-0.70967
232,3,10,-0.93719,-0.97055,-0.020859,0.33283,-0.46103,-0.26908,0.75657,0.011692,-0.0093477,-0.93495,0.36953
232,3,11,-0.25676,-0.97103,-0.35052,0.83355,0.13494,-0.67265,0.72814,0.7078,0.95549,0.078944,-0.32071
232,3,12,0.19635,0.52778,-1.2985,-0.82662,0.11147,0.078723,0.46308,1.1261,1.4449,0.38518,0.76648
232,3,13,0.39732,1.1314,-1.6576,-1.1064,-0.95091,0.31766,0.012175,0.042038,0.40494,-0.67306,0.31359
232,3,14,0.47491,0.11506,-1.0289,-0.65208,-0.47999,-0.29955,0.042187,-0.38065,-0.6431,0.47532,0.66745
232,3,15,0.27035,0.36161,-0.12388,-0.86056,0.25465,-1.1499,-0.62087,-0.71427,-0.5581,0.29326,-0.54632
232,3,16,0.24626,0.48944,0.28171,-0.82082,0.99096,-0.81697,-0.44784,-0.20593,0.71048,0.18101,-0.62628
232,3,17,1.3025,0.85255,0.48819,-0.48063,0.49328,-0.472,-0.73822,0.3483,-0.24463,-0.18598,-0.95585
232,3,18,1.5329,0.63607,0.10446,0.29,0.33949,-0.63335,0.18826,-0.9464,-0.027529,0.17184,-0.41217
232,3,19,2.0094,0.3525,-0.019816,-0.06707,0.68414,-0.16848,-0.5928,-0.48525,-0.43504,0.87107,0.66314
232,3,20,1.186,-0.31049,0.29996,-0.062099,0.31344,0.45087,-0.45671,-0.42874,0.0085614,0.23521,0.63129
232,3,21,0.4837,0.028203,0.23517,-0.64992,-0.47549,0.40429,0.90705,-0.23615,0.55601,0.19342,0.57716
232,3,22,-0.20132,-0.14485,0.7933,-1.0848,-0.11005,0.13368,0.66893,0.21502,0.21733,-0.31713,-0.27393
232,3,23,-0.64556,0.050906,0.91675,-0.71201,0.65288,-0.024642,1.5662,-0.17462,-0.82588,0.59632,-1.2007
232,3,24,-0.17993,0.18275,0.90124,-0.3095,0.60852,0.70006,1.1111,-0.36947,0.20456,0.074237,-0.9479
232,3,25,0.258,1.0135,-0.752,-0.33134,-0.10219,-0.12614,-0.11167,-0.25427,-0.19912,-0.74313,0.89776
232,3,26,-0.094751,0.63319,-0.22101,-0.097969,-1.0146,-0.29958,-0.72633,-0.38978,0.56829,0.70338,1.3053
232,3,27,-0.045904,-0.35736,0.17806,-0.51561,-0.89732,-0.50321,-0.59819,0.12689,-0.49907,0.44081,-0.37145
232,3,28,-0.082631,-0.6894,0.081989,-0.26387,-0.82596,0.066089,-0.55089,0.50633,0.08,-0.22399,-0.62467
232,3,29,0.24947,-1.3241,0.16776,0.2904,-0.14637,0.0059159,-0.47991,-0.39878,-0.50551,0.019826,-0.46323
