sub,run,trial,act-leftVLPFC,act-leftVS,act-rightVLPFC,act-rightVS,leftVLPFCconn-DLPFC,leftVLPFCconn-MPFC,leftVLPFCconn-PCC,ECNconn-MPFC,ECNconn-insula,DMNconn-leftVS,bilateralVLPFCconn-parietal,leftVSconn-visual,rightVSconn-DLPFC
222,3,1,-0.11712,-0.26868,-0.2563,0.75895,-1.8136,0.75074,0.31051,-1.0847,-0.12607,-0.044867,-1.0324,-0.03569,0.27392
222,3,2,-0.50123,0.10134,-0.59296,0.29483,-0.37026,0.52056,0.41801,-1.3048,-0.066218,-0.018723,-0.028287,-0.52086,0.53158
222,3,3,0.064742,-0.52581,-0.29941,-0.33892,-0.82805,-0.032986,-0.28052,-0.65053,-0.18929,0.61784,-0.2528,-0.3754,0.055083
222,3,4,-0.23504,-0.88532,-1.1259,-0.62352,-0.069391,-0.70041,0.48694,-0.14028,-0.77319,0.12366,-1.6623,-0.58551,-0.33922
222,3,5,-0.76552,-0.72246,-0.67279,-0.13446,0.47441,0.18866,0.7089,0.40571,-0.093878,0.68285,-1.5225,-0.45451,0.75745
222,3,6,-0.76442,0.22606,-0.00043474,0.24172,0.0078728,0.13741,-0.073377,-0.080083,0.52188,0.93608,-0.38716,1.0713,0.7587
222,3,7,0.5527,0.76964,1.0252,-0.13208,-0.57792,-0.11351,-0.73014,-0.77637,-0.79816,-0.091461,0.69205,2.0584,0.58731
222,3,8,1.4636,0.11772,1.0988,-0.77372,0.9063,-0.31939,-0.22885,-1.442,0.28577,-0.34034,0.26081,0.30704,-0.94926
222,3,9,0.86275,0.23427,0.117,0.4729,-0.01878,0.25442,-1.0615,1.1255,0.38884,0.35531,-0.40459,0.30815,0.53687
222,3,10,0.7668,0.30542,0.28701,0.40145,0.018351,0.16176,-0.80061,0.46994,0.37133,-0.23039,-1.483,-0.53876,-0.67686
222,3,11,0.14172,0.27851,0.10549,0.82911,1.1192,0.19408,0.51214,-0.57539,0.38022,-0.1501,-0.41736,-0.1492,-0.17487
222,3,12,-0.17924,-0.088873,-0.074534,0.62725,-0.29141,-0.61828,0.20713,-0.20761,1.0368,0.25614,-0.82448,0.67534,0.29007
222,3,13,0.86272,0.058083,0.00794,0.31727,-0.76462,0.083416,0.24563,0.17958,0.82531,-0.60451,-0.021361,-0.13151,0.69331
222,3,14,0.30149,-0.18173,-0.38841,-0.47246,-0.59162,0.45868,0.44076,0.49724,0.77114,0.42337,-0.10696,-0.88312,1.0594
222,3,15,0.10819,-0.30179,-0.17115,-0.28806,0.54213,1.6828,0.51746,0.61584,0.20385,0.022662,0.34183,-0.78371,0.19202
222,3,16,-0.12058,-0.81879,0.3062,-0.71037,0.95844,0.10612,-1.4871,0.11352,-0.21385,0.097153,0.29519,0.12314,0.84268
222,3,17,0.28865,-0.020744,-0.0026457,0.27126,0.50865,-0.30762,-1.2136,0.29448,-0.24387,-0.21264,-0.0027963,0.80046,0.63249
222,3,18,-0.055244,-0.14047,0.45139,0.37559,0.50009,-0.37338,-0.8207,0.19269,0.96668,-1.133,0.64313,0.25541,0.20307
222,3,19,0.41173,0.28114,0.46379,0.57923,0.0083718,-0.06581,0.45106,0.31217,0.91427,-0.80272,0.27136,0.20047,-0.084592
222,3,20,0.99286,0.57803,0.016271,0.33371,-0.6169,-0.55251,-0.04705,0.13846,0.98616,-1.3954,-0.42779,0.18958,-0.095536
222,3,21,1.3072,1.4935,0.87722,0.42851,-0.033795,-0.78937,0.053558,0.38738,-0.007061,0.67769,-0.21076,0.67144,0.14046
222,3,22,0.81296,0.92769,0.71558,-0.23492,1.3961,-0.66883,0.77465,0.48517,0.27971,0.17805,-0.31022,-0.030734,0.33829
222,3,23,0.59805,0.085051,0.15673,-0.22226,1.4424,0.6286,0.75886,0.8772,-0.38522,0.0037748,0.079711,0.035918,0.88343
222,3,24,0.20135,-0.63938,0.34347,-0.54807,0.88036,-0.30599,0.050209,0.049858,0.00041514,-0.51974,-0.055142,0.55563,0.64083
222,3,25,0.90711,-0.76762,-0.48807,-0.56523,0.40008,-0.040263,0.21598,-0.13168,-0.23688,0.90336,0.25251,-0.33264,-0.82391
222,3,26,0.4423,-0.37708,0.14791,0.058796,0.49073,-0.59894,0.51057,0.37737,-0.18582,0.20834,1.1705,0.29067,-1.1951
222,3,27,-0.4163,0.2384,0.18976,0.36108,0.058151,-1.0946,0.48645,0.45152,-0.40174,-0.36303,1.1458,0.50789,-0.22844
222,3,28,-0.22661,0.35789,0.072847,-0.22257,0.71103,-0.38215,-0.25625,-1.0513,-0.99823,-0.18469,1.0302,-0.41206,0.20283
222,3,29,0.24941,-0.084677,0.27568,-0.18623,0.41457,1.1565,-0.95766,-0.50043,-0.59114,0.18319,-0.24903,-1.2143,1.3116
222,3,30,0.51327,0.078013,-0.24127,0.23336,0.68884,-0.064127,-0.24562,0.16102,-0.42424,0.016559,0.5438,-0.73165,1.025
222,3,31,0.35092,0.61939,-0.45581,1.0068,-0.34193,-1.7673,-0.73439,-0.18832,0.24504,-0.15337,-1.4234,0.049161,1.2962
222,3,32,0.43097,0.64778,-0.27375,0.94175,-1.0689,-0.94338,-0.28782,-0.80672,0.4714,0.52507,-0.94963,-0.9952,0.72249
222,3,33,-0.2341,-1.1034,0.83468,-0.99338,0.12851,0.80623,1.8498,-0.56911,-0.7649,0.062197,-0.52088,0.018102,0.49108
222,3,34,-0.70732,-0.38366,0.50434,-0.38238,0.075562,-0.70476,-1.3068,-0.64391,-0.64109,-0.23289,-0.69196,0.25707,0.11784
222,3,35,-0.499,-0.10631,-0.44703,-0.385,-0.39444,0.11248,-0.67709,-0.49512,-0.37013,-0.49922,-0.48122,1.3678,-0.025212
222,3,36,-0.10172,-0.53068,-0.37014,-0.48488,-0.25979,-0.32931,-0.45483,-1.0915,0.018962,-0.45302,-0.17185,-0.80496,0.20019
222,3,37,0.34134,0.16011,0.17539,0.23038,-0.35408,-0.28841,-0.70438,-1.0487,0.18173,-0.25216,-0.0052457,-0.22233,-0.30392
222,3,38,0.30261,0.17322,0.048753,0.47023,0.50005,-0.019583,-0.63679,-1.3228,-0.25428,0.18677,-0.74614,-0.82469,0.18491
222,3,39,0.19175,-0.51116,0.20723,-0.18347,1.1003,1.4153,1.0116,-0.66963,-0.041776,0.074647,-1.078,-0.66961,-0.28431
222,3,40,0.10219,-0.59949,0.66506,-0.53349,0.26412,1.3109,0.45145,-0.40857,1.2746,-0.78303,-0.42385,1.1747,0.46839
222,3,41,-0.23833,0.34476,0.49427,0.99263,0.56071,-0.29289,-0.8111,-0.044696,-0.07265,-0.55618,-0.65864,-0.46958,0.66126
222,3,42,-0.73112,-0.063385,-0.29894,0.44453,1.0652,-0.35736,0.48997,-0.096979,0.13229,-0.94042,0.35098,-0.97845,0.20414
222,3,43,-0.40183,0.041719,-0.29058,0.43815,-0.14348,-0.13447,-0.04141,-0.68554,0.19779,0.10241,0.26611,-1.041,-0.48019
222,3,44,-0.0416,0.15307,1.0681,0.15343,0.69983,-0.042881,-0.1015,-0.74154,0.093299,-0.24251,0.14774,-1.2038,-0.17534
222,3,45,-0.25134,-0.03818,1.1411,-0.21552,0.06745,0.56239,1.0168,-0.40965,0.21563,-0.042657,-0.49401,-0.7446,-0.047705
222,3,46,-0.89964,-0.47422,0.27242,-0.29199,-0.64572,0.31571,-0.066835,0.69046,-0.25955,0.1644,0.0039353,-0.0020265,-0.38969
222,3,47,0.029551,-0.11785,-0.042285,0.20109,-1.4935,0.3326,0.58488,1.0426,-0.83873,0.60212,-0.084604,0.77318,-0.72673
222,3,48,1.5397,0.53169,-0.064497,0.32755,-1.327,-0.13209,0.35097,1.017,-0.53132,-0.22972,0.082617,0.080736,-0.96276
222,3,49,0.29696,0.16084,0.75959,0.41027,-0.88853,-0.38566,0.23438,-0.96348,-0.36369,-0.63979,0.8889,-0.40231,-0.59393
222,3,50,0.020855,0.032378,0.46839,0.31452,-0.72106,-0.030767,0.16463,0.79818,0.28944,-0.30102,0.48033,-0.13826,-0.15756
222,3,51,-0.38061,0.10576,0.59667,0.62773,0.090819,-0.38376,0.29367,1.1388,-0.2126,0.10752,1.0804,0.10763,-0.4447
222,3,52,-0.70642,0.13575,0.26667,0.47522,0.60859,0.026414,-0.15372,1.0079,-0.59742,0.87972,0.44089,-0.067395,-0.3511
