sub,run,trial,act-leftVLPFC,act-leftVS,act-rightVLPFC,act-rightVS,leftVLPFCconn-DLPFC,leftVLPFCconn-MPFC,leftVLPFCconn-PCC,ECNconn-MPFC,ECNconn-insula,DMNconn-leftVS,bilateralVLPFCconn-parietal,leftVSconn-visual,rightVSconn-DLPFC
203,2,17,0.55306,0.12992,0.28136,0.29867,0.56152,0.39634,-0.23158,0.10115,-0.36611,0.71893,-0.33147,0.53862,-1.0508
203,2,18,0.15966,-0.37778,-0.68951,0.30989,-0.41978,0.040236,-1.1448,0.94126,-0.018722,0.31882,-0.56552,0.13819,-1.1743
203,2,19,-0.49882,-0.77094,-0.34433,-0.084537,-0.74653,0.65768,-0.80659,-0.25594,0.1175,0.08444,-0.13794,-0.032183,-0.0040186
203,2,20,0.66112,-0.50918,0.42375,0.094407,-0.65395,-0.42747,-1.2044,-0.47784,0.60687,-0.00031856,-0.19404,-0.034523,0.61507
203,2,21,2.066,0.24774,1.0737,-0.016678,-0.75261,-0.78452,-0.35676,-0.23213,0.63976,0.098285,-0.38377,1.1316,0.32808
203,2,22,1.7281,0.080689,0.60856,-0.080343,-1.1982,-0.2592,-0.019589,-0.28539,0.39485,1.4973,-0.38881,1.2202,0.38515
203,2,23,0.45906,-0.53416,0.20754,-0.6223,0.54716,0.58661,0.81787,-1.1858,-0.11951,0.98228,0.12421,-0.79796,0.12617
203,2,24,-0.49032,-0.84741,0.78393,-0.4318,-0.1293,1.406,-0.1001,-0.87088,-0.19433,-0.47829,-0.85688,-0.79331,0.61529
203,2,25,-0.20542,0.71568,0.51872,0.45804,0.040478,0.25443,-0.094356,-1.0861,-0.88779,0.11547,0.253,0.83964,-0.16865
203,2,26,0.34516,0.38501,-0.0071655,0.78981,-0.36847,0.59024,-0.095967,-0.78713,0.55506,-0.16515,-0.29856,0.17219,-0.34835
203,2,27,0.47435,-0.46325,0.54527,0.81339,0.091877,-0.28774,0.37329,-0.31841,0.041642,0.11519,-0.27085,-0.28937,-0.27019
203,2,28,-0.6869,-0.61346,0.10498,0.1267,-0.44008,-0.59459,1.3519,-0.27858,-0.29155,-1.0064,0.60866,-0.067872,-0.58211
203,2,29,-0.60144,-0.13621,0.71312,0.10815,0.8997,-0.823,-0.29265,0.16459,-1.4064,-0.59933,0.69478,-0.43538,-0.67122
203,2,30,-0.61462,-0.15106,0.33403,0.1628,-0.13349,-0.50897,-0.25983,-1.3952,-0.28194,-0.11965,0.37212,0.067967,-0.87226
203,2,31,-0.30805,0.17147,1.0645,0.30696,0.025037,-0.6662,0.49619,-0.2477,-0.15645,-0.12137,0.77885,-0.29766,-0.60321
203,2,32,0.8094,0.58693,1.1646,0.25844,-0.43728,0.28846,-0.50387,0.77858,0.57247,0.60315,-0.5815,-0.60838,0.92478
203,2,33,0.015935,-0.22362,-0.18525,0.27983,-0.98826,0.18088,-1.0777,0.41883,-0.37632,-0.088346,-0.086515,0.35692,0.29019
203,2,34,0.033452,-0.011214,0.55431,0.54774,-0.9698,0.11285,0.40975,0.75899,0.023533,0.61763,0.18736,-0.032923,0.022435
203,2,35,0.86017,0.068917,0.53454,1.0809,-0.36424,0.56334,0.62596,0.83149,0.76522,0.74407,0.20993,0.048322,-0.14333
203,2,36,1.4016,0.1036,0.19835,0.70371,0.20118,0.83009,-0.57928,0.62185,1.0302,0.49085,0.10574,-0.46086,-0.73351
203,2,37,0.99802,-0.2955,-0.42912,-0.65439,0.40911,0.97893,-0.33279,-0.29016,0.3526,0.23602,0.17977,0.4046,0.65715
203,2,38,-0.022909,-0.60785,-0.72261,-0.48916,-0.42351,0.55223,-0.63729,-0.31843,-0.14299,0.33554,-0.46318,0.063807,0.20789
203,2,39,-0.42657,-0.4893,0.52049,-0.16835,-0.57107,0.41569,0.051704,0.40737,-0.4782,0.55781,-0.65666,0.41533,-0.051372
203,2,40,0.12488,-0.018309,0.64571,0.1383,-0.43335,-0.0014462,0.48796,-0.59901,-0.61927,-0.72243,-0.36878,0.41166,0.49377
203,2,41,0.68241,1.7822,0.27357,1.0544,-1.4068,0.55059,-0.31112,-0.6856,-0.65579,0.22705,-0.90662,-0.64297,0.25303
203,2,42,1.3079,1.1814,0.70656,0.39734,-1.5898,0.64919,0.15296,-0.51856,-0.48986,1.1711,-0.5863,-0.37013,-0.90922
203,2,43,1.1724,-0.049334,0.57994,-0.3317,0.16574,0.1655,0.29959,0.85555,0.44971,1.1611,0.11493,0.054263,-0.8358
203,2,44,0.44357,-0.049458,0.53786,-0.16404,1.0515,-1.1011,-1.0921,1.1673,0.50173,0.48207,0.67666,-0.48426,-0.20902
203,2,45,0.16487,0.57518,0.022841,0.58427,1.2437,-0.70835,0.72424,1.0066,0.7804,-0.26182,1.0982,-0.55209,0.050336
203,2,46,0.58253,0.39056,0.31066,0.072915,1.4703,-0.065714,0.69534,0.55555,0.63568,-0.56117,0.80441,-0.36817,0.1852
203,2,47,0.84193,0.021911,0.55293,-0.065576,1.1097,0.013983,0.15074,0.49392,0.42213,-0.64159,0.052419,-0.46479,-0.081096
203,2,48,1.4183,-0.63144,1.5653,-0.23276,1.3208,-0.56046,-0.097883,-0.55163,0.0020969,-0.52278,-0.47623,-0.62917,-0.19414
203,2,49,0.16922,0.4158,-0.27113,0.17659,0.96935,0.36383,0.095944,-0.096054,0.17746,-0.25988,-0.73159,-0.078188,-0.22388
203,2,50,0.32722,-0.11435,0.89112,0.37416,0.36666,0.84205,0.67469,0.36617,0.38177,-0.10773,-0.98284,-0.25756,-0.72692
203,2,51,0.75556,-0.50077,1.4046,-0.45593,0.097954,-0.3974,-1.417,-0.11038,0.92578,0.18307,-0.71206,-0.1403,-1.8181
203,2,52,1.5237,-0.40657,1.1071,-0.98736,0.3505,-0.60036,-1.3614,0.53212,0.88067,-0.25353,-0.60011,-0.34344,-1.5701
203,2,53,1.4833,-0.50816,0.42128,-0.67235,0.80648,-0.20914,0.28169,0.18302,0.49889,-0.83303,-0.07231,-0.031183,-1.0342
203,2,54,0.92526,-0.39481,0.15609,-0.69896,0.49242,-0.12718,0.80496,-0.69325,0.24971,-0.89706,0.71503,-0.027377,-0.6372
203,2,55,0.93654,-0.36101,-0.0092358,-0.072474,-0.93956,-1.3757,0.90815,-0.63072,-0.09626,-0.91853,0.36726,0.017782,-0.25774
203,2,56,0.52874,0.059668,0.012726,0.54341,0.05437,-0.4554,-0.090003,0.30445,0.019544,-0.55477,1.1294,-0.13228,0.22958
203,2,57,1.1386,-0.26459,0.079057,0.37774,-0.73872,0.7217,-0.20318,1.0001,-0.73418,-0.43653,-0.76161,-0.68103,-0.11791
203,2,58,0.62386,-0.6014,-0.36325,0.51871,-0.74593,1.0154,-0.74625,-0.82221,-0.87431,0.30689,-1.1126,-0.43947,-0.30998
203,2,59,0.013542,-0.75824,0.4657,0.29416,-0.35281,-0.017883,-0.25933,-0.47727,-0.6436,0.19592,-0.67865,-0.22705,-1.5165
203,2,60,-0.17152,-0.091121,0.40951,0.21419,0.01499,-0.16147,1.5251,-0.011189,-0.43642,0.14278,-0.46462,0.16896,-1.2625
203,2,61,-0.051887,0.23355,0.54193,0.46409,-0.5764,-0.24185,-0.37331,-0.32558,-0.01567,-0.44591,-0.74845,-0.39336,-0.10061
203,2,62,0.078575,0.1796,0.32797,0.17009,-0.18466,0.36213,0.1426,-1.2443,-0.01976,-0.20281,0.25236,-0.49568,-0.11655
203,2,63,0.29017,0.15867,0.52754,0.51944,-0.060773,-0.24717,-0.43749,-0.34116,-0.21812,0.62609,0.43937,-0.023657,-0.063609
203,2,64,0.53976,0.41993,0.3996,0.52851,-0.34321,-0.92369,-1.3942,0.45105,0.22832,0.81993,0.28229,0.25062,-0.27711
