sub,run,trial,act-leftVLPFC,act-leftVS,act-rightVLPFC,act-rightVS,leftVLPFCconn-DLPFC,leftVLPFCconn-MPFC,leftVLPFCconn-PCC,ECNconn-MPFC,ECNconn-insula,DMNconn-leftVS,bilateralVLPFCconn-parietal,leftVSconn-visual,rightVSconn-DLPFC
203,2,1,-0.34016,-0.29771,-0.20184,-0.56043,-0.042013,-0.39828,0.1851,-1.2149,0.7855,0.082683,-0.37955,0.18993,0.77726
203,2,2,1.5225,-0.10969,-0.28985,-0.16244,0.21584,-0.98021,0.26911,-0.89373,0.85657,0.93393,-0.30832,-0.014448,0.8751
203,2,3,1.5561,0.13768,-0.18863,0.15559,0.44357,-0.82406,-0.78276,0.34072,-0.047428,1.4987,-0.60402,0.13966,-0.060451
203,2,4,1.4205,-0.27761,0.064366,0.35409,-0.889,0.27468,-0.53548,0.77078,0.34691,0.59672,-0.2823,-0.020185,-0.71411
203,2,5,0.46446,0.57943,1.6232,0.54795,0.29514,-0.25079,0.46089,0.75381,0.11894,-0.80027,0.18581,0.34737,-0.71267
203,2,6,0.17675,1.0549,1.1843,0.69829,0.634,-0.092721,0.75182,-0.01743,-0.93098,-1.1785,-0.11001,-0.0014368,0.16635
203,2,7,0.23472,0.0029679,0.85608,0.21191,1.0853,1.0223,0.09375,0.87644,1.1462,0.14349,0.45845,-0.1216,0.47898
203,2,8,-0.25218,-0.58961,0.29362,-0.08504,-0.38751,0.51705,0.073461,-0.22939,1.2285,0.29015,-0.0075135,-0.11993,0.01617
203,2,9,1.5409,0.68613,0.94719,0.64511,-0.24608,-0.18695,-0.23664,0.83117,-0.64653,0.74313,-0.1925,-0.50955,-0.40309
203,2,10,1.0654,0.19626,0.6941,-0.032818,0.68836,-0.83345,-1.0602,0.4448,-0.1707,-0.025048,-0.35195,0.10271,-0.74724
203,2,11,0.066478,-0.36495,0.23745,0.02396,-1.2764,0.55273,-0.042582,0.13327,0.35581,-0.80166,-0.39158,0.17348,0.3415
203,2,12,-0.63156,-0.5818,0.036631,-0.41529,-0.72002,0.052643,0.075557,-0.42102,0.21657,-0.72013,-0.59046,0.0070399,-0.022059
203,2,13,-1.0992,-0.82065,-0.60126,-0.53985,-0.8354,-0.48156,-0.53771,0.34499,0.015369,-0.53751,-0.71184,-0.14221,-0.48466
203,2,14,-0.73342,-0.63506,-1.1117,-0.04322,-0.36603,0.79713,-0.20424,-0.53421,-0.40281,-0.44482,-0.089037,-0.22868,-0.16152
203,2,15,-0.53436,-0.31149,-1.3407,-0.045344,0.27674,0.043705,-0.092273,-1.0907,-0.080916,-0.33754,-0.37679,-0.038309,-0.99988
203,2,16,-0.45267,-0.15605,-0.4774,0.036398,0.25748,-0.82149,-0.015429,-0.49938,-0.037103,-0.8317,-0.18125,0.59341,-0.21587
