sub,run,trial,act_IFG,act_SMA,act_lVLPFC,act_rVLPFC,act_thalamus,conn_leftVS_LPFC,conn_leftVS_dACC,conn_leftVS_visual,conn_rFPN_VLPFC,conn_rFPN_precun,conn_rightVS_dACC,conn_rightVS_dPrecun,conn_rightVS_vPrecun
227,2,1,0.33541,1.3627,0.85169,0.46872,-0.79736,0.38174,-0.10225,0.70884,-0.5843,-1.0421,-0.23325,1.4038,-0.26859
227,2,2,-0.26524,-0.24313,-0.057314,-0.7538,-0.24275,0.096457,-0.68324,0.00075314,-0.50938,-0.042495,-0.33161,1.5972,-0.64547
227,2,3,-0.0032692,0.09067,-0.60586,-0.63483,-0.18532,-0.88766,-0.41602,-0.67695,-0.95274,0.35061,-0.9766,0.60881,-0.16384
227,2,4,-0.27676,1.1264,-0.78048,-0.753,-0.44969,-0.54965,0.7402,0.50679,-0.86707,0.4475,0.31518,0.25214,0.19197
227,2,5,-0.42862,1.3347,-0.0017212,0.54899,-1.3147,-0.38021,0.77849,0.81869,-0.95927,0.25305,0.8898,0.025086,0.91202
227,2,6,-0.63639,1.0844,1.1589,0.87364,-1.1999,-1.1124,0.28698,-0.25382,-1.3864,-0.45885,0.76272,0.2532,0.71693
227,2,7,-0.20732,-0.4993,0.57691,1.5653,-0.63041,-0.36736,-0.36528,-0.2783,-0.076999,-0.27758,0.059415,-0.14041,-0.2356
227,2,8,0.82781,-0.00034446,0.54189,1.2516,0.40184,0.55465,-0.38904,-0.0078462,1.1243,0.21397,-0.17855,0.92162,0.56917
227,2,9,1.4331,-0.42957,-1.1129,-0.81645,-0.19288,-0.2704,0.27785,0.62408,0.067239,-0.12496,-0.14389,-0.25326,0.83327
227,2,10,0.86708,0.29964,-0.4622,-0.6321,-0.55791,0.54642,0.055148,-0.39283,-0.61008,0.41938,-0.27367,-0.65465,-0.070063
227,2,11,-0.18884,0.60746,0.74087,0.89782,-1.1459,0.74318,-0.47503,-0.72545,0.33692,0.039258,1.5975,-0.49758,0.15834
227,2,12,-1.1652,0.70923,1.0396,1.8183,-0.94931,0.52109,-1.2496,-0.06623,-0.72409,-0.6627,0.52018,-0.47952,-0.044432
227,2,13,-1.0929,0.082144,0.28504,1.4707,-0.67656,-0.46049,-0.69007,0.093049,0.30459,0.50344,-0.38113,-0.30114,-0.46224
227,2,14,-1.2257,0.37003,-0.22173,-0.89739,0.15222,-0.67533,-0.0091926,0.075717,0.43343,-0.034367,-0.16705,1.2644,0.77882
227,2,15,-0.67444,1.1822,-0.10503,-0.83703,-0.035242,-0.13972,0.58766,0.098091,-0.12675,-1.0985,1.0737,-0.0068196,0.5035
227,2,16,-0.65455,0.7958,-0.35807,0.090315,-0.19546,0.3687,-0.058624,-0.22944,-0.38123,-1.4632,0.67727,-0.092948,-0.10759
227,2,17,1.3411,-0.14847,0.24919,-0.32117,-1.285,0.011928,0.19733,-0.18006,-0.029993,0.16607,-0.82128,-0.075644,-0.78764
227,2,18,-0.85286,-0.98171,0.43511,-0.12401,-1.1609,-0.080797,-0.84493,-0.24915,-0.25221,0.44619,-0.53766,0.18059,-0.081717
227,2,19,-0.52736,-0.1856,0.22761,0.42878,-1.1961,0.77642,-0.60955,-0.23717,1.0176,-0.29275,-0.10158,0.63092,0.41774
227,2,20,-0.99408,-0.10703,0.42765,0.46766,-0.70423,0.080345,-0.11097,0.84217,0.3849,-0.4328,0.29186,-0.71783,0.52929
227,2,21,-1.0629,0.2645,0.4654,0.092127,-1.1612,1.0119,0.28969,0.022068,-0.016327,-0.053306,1.5442,-0.38432,-0.08647
227,2,22,0.019865,0.65388,-0.13073,-0.22509,-0.57518,-0.063275,0.15311,0.61109,-0.71407,0.9057,1.2725,-0.35705,0.13251
227,2,23,0.091583,-0.27903,-1.0063,-0.97407,1.1033,0.49065,0.71606,0.56757,-0.27507,0.24432,0.36159,-0.10681,-0.72079
227,2,24,-0.23012,-1.3089,-0.47246,-0.55249,0.24912,0.082444,0.29339,1.1256,-0.071186,-0.59508,-0.34921,0.17867,-0.76616
227,2,25,-0.30982,-1.0199,0.050198,1.003,0.27431,1.5823,-0.44194,-0.0044044,-0.30407,1.1674,1.017,-0.56182,-0.14731
227,2,26,-0.14078,-1.9339,0.42953,0.73635,-0.29105,1.3171,-0.77951,-0.7313,0.06074,0.8137,0.33696,-0.83937,-0.45847
227,2,27,-0.55128,-1.761,0.88131,0.69393,-1.1848,1.0988,0.041908,-0.38389,0.62063,0.69005,1.4054,-0.22533,0.43105
227,2,28,-0.22338,-1.6279,1.2012,1.1173,-0.75187,-1.2106,-0.75301,-0.91373,0.36991,-0.17491,-0.052029,-0.081647,-0.66587
227,2,29,-0.15307,-0.77448,0.77581,1.5351,-0.29114,0.40115,-0.52472,-0.020974,0.61264,0.49413,0.39964,0.96772,-0.48674
227,2,30,-0.094,-0.13457,0.37146,1.537,0.096283,0.57609,-0.046828,0.47619,0.21563,-0.070794,-0.85758,0.2058,-0.7503
227,2,31,0.26651,0.50518,0.098798,1.0354,-0.020767,0.13672,-0.44304,0.52415,0.18792,-0.04967,0.30395,0.32376,0.32799
227,2,32,0.34091,0.39346,-1.0254,-0.15176,-0.29979,1.006,-0.82475,-0.1049,0.39613,-0.16903,0.14738,0.10965,0.37842
227,2,33,-1.3468,0.43888,0.21485,0.47554,-0.40575,0.87229,0.23296,0.18417,0.47669,-0.7906,1.1894,-0.2744,-0.20723
227,2,34,0.2783,1.1069,0.69808,0.77542,-0.33758,0.1931,-0.26219,-1.1841,0.75618,-0.35529,0.59208,-0.3815,-0.088461
227,2,35,0.43592,1.3747,0.78947,0.7694,-0.79703,-0.067253,0.042172,0.465,-0.11076,-0.70552,0.28157,-0.20836,0.24323
227,2,36,0.39337,0.49441,0.63226,0.92716,-1.0889,-0.54634,-0.21055,1.3236,-0.073919,1.516,-0.22042,-0.83177,0.66964
227,2,37,-0.082326,-0.19202,0.82941,-0.33988,-1.0061,0.25849,-0.58448,0.13956,-1.0342,0.73986,-0.62596,-0.86667,0.51124
227,2,38,-1.2078,0.34815,0.69185,0.60841,-0.63086,0.60298,-0.2181,0.46003,-0.75204,0.32241,0.083675,0.5669,0.57432
227,2,39,-0.50014,-0.97895,0.9637,0.85177,0.34999,-0.3404,0.1883,0.093363,1.1092,-0.016541,0.75036,0.28821,-1.4043
227,2,40,0.0066339,-1.1185,1.1337,1.2824,0.72718,-0.42198,0.72892,-0.67277,1.0293,-0.32421,1.208,0.14238,-1.5491
227,2,41,0.12658,0.993,-0.032036,-0.15887,-0.43406,0.3829,-0.84664,-0.23938,-0.3636,0.015829,-0.62387,-0.39067,-0.90108
227,2,42,0.1053,0.9299,0.2191,-0.37785,0.061607,-0.77975,-0.80909,0.67189,0.63251,0.30486,0.50758,-0.51498,0.70903
227,2,43,-0.064364,0.35689,0.29765,0.3635,0.17723,1.1976,-0.25504,-1.1863,0.38534,0.21017,-0.16932,-0.22164,-0.69581
227,2,44,0.37354,0.33246,1.0962,0.61749,-0.3042,1.2515,0.062482,-1.7259,0.35522,-0.83387,-0.095194,1.3191,-0.26309
227,2,45,0.94393,0.10181,-0.47205,0.62283,0.48144,0.92046,0.19024,-1.1546,-1.2832,-0.93155,0.14059,0.66816,0.24246
227,2,46,1.0117,-0.80984,-1.2068,-0.3704,0.17791,-0.84212,0.54332,1.3698,-1.1494,1.8823,2.1948,0.67156,0.47147
227,2,47,0.32721,-1.8017,-0.58609,-0.1312,-0.30278,-0.091445,-0.091913,-0.18426,0.46829,0.30499,0.76062,0.11481,0.34961
227,2,48,-0.26724,-0.42015,-0.22951,0.74349,-0.59089,1.2643,-0.0073786,-0.38545,-0.15938,-0.024685,1.3064,0.29043,0.79927
