sub,run,trial,act_IFG,act_SMA,act_lVLPFC,act_rVLPFC,act_thalamus,conn_leftVS_LPFC,conn_leftVS_dACC,conn_leftVS_visual,conn_rFPN_VLPFC,conn_rFPN_precun,conn_rightVS_dACC,conn_rightVS_dPrecun,conn_rightVS_vPrecun
221,1,1,-0.31933,-0.10659,-0.70848,-0.12327,1.203,0.072642,-0.25935,-0.33858,0.25188,0.85503,0.23703,-0.33536,-0.042984
221,1,2,0.0086095,-0.15496,0.2431,-0.18344,0.74356,0.16122,-0.25412,0.17766,-0.4398,0.43208,0.40546,-0.19612,0.21801
221,1,3,-0.066763,-0.058427,0.87778,0.21333,-0.85746,-0.67285,-0.0075544,-0.11309,-0.59849,-1.6504,-0.11299,-0.58425,-0.34622
221,1,4,0.058527,-0.23556,0.42219,0.51416,-0.60199,-1.0038,0.49175,-1.0355,-0.29015,-0.34673,-0.44213,-0.12208,0.74537
221,1,5,0.66539,-0.82914,-0.48111,0.33764,-0.15109,-0.24401,0.19786,-0.39075,0.14115,-0.057517,0.43161,0.87721,0.60757
221,1,6,0.83634,-0.99791,-0.37678,0.55041,-0.30305,-0.27973,-0.080867,-1.6314,-0.46609,-1.1531,0.68813,0.89207,0.44512
221,1,7,0.17852,0.1917,0.17185,0.61482,-0.68959,-0.26682,-0.6713,-0.4068,0.551,0.42141,0.030522,0.11665,0.06571
221,1,8,0.31845,1.0807,1.0737,0.92545,-0.19091,-0.18656,-1.1732,0.94656,0.53837,0.75174,0.56774,-0.33601,-0.92367
221,1,9,-0.13329,0.31839,-0.086377,-0.23079,0.68478,0.58016,0.5367,1.0053,-0.87854,-0.36148,-0.056716,-0.78651,-0.65677
221,1,10,-0.70567,0.82598,-1.0366,-0.28567,-0.61432,0.86733,0.00057774,0.53499,-0.025677,0.62775,0.10697,0.13796,-0.081039
221,1,11,-0.03117,0.49517,-0.59312,-1.0506,-1.0677,1.1359,-0.44293,0.6658,0.010594,0.18111,0.66258,0.40312,0.2285
221,1,12,1.1783,0.65066,-0.48014,0.11825,-0.48592,0.67334,-0.49115,0.38132,0.75803,-0.52857,0.41457,-0.54543,-0.014973
221,1,13,0.37341,0.45402,0.23589,1.0068,-0.56621,0.9374,-0.81629,0.069201,0.26766,-0.69691,0.28225,-0.77405,0.8141
221,1,14,-0.19909,0.37202,0.47414,0.58813,-0.57211,0.047036,-0.99191,0.1341,0.10389,-0.35374,-0.054378,-0.38401,0.7971
221,1,15,0.15737,0.35536,0.6652,0.42596,0.46855,0.33762,-0.86089,-0.087029,0.40198,0.31067,0.59737,-0.47943,0.34963
221,1,16,0.75739,-0.76303,0.53316,0.39715,0.57666,-0.051575,-0.66677,0.28031,0.12238,0.35713,0.49248,-0.50003,0.53258
221,1,17,-0.4471,-0.23022,0.58673,0.33175,0.6082,0.22502,0.70757,0.21462,-1.1692,-0.3587,-0.61824,0.85053,1.0378
221,1,18,0.90559,-0.46355,0.13183,0.32907,0.29997,-0.060703,0.28864,0.33715,0.46365,-0.054906,-0.25323,0.43552,0.41081
221,1,19,0.57485,-0.71976,-0.23798,0.038918,-0.24333,0.4536,-0.57489,0.28714,0.2474,-0.36041,0.32082,0.53867,-0.86028
221,1,20,-0.3087,0.44172,-0.39332,0.30154,-0.37199,0.25332,-0.53396,0.48269,-0.55738,0.064135,0.10605,-0.23572,-0.7832
221,1,21,-1.3167,0.46224,-0.88792,0.55358,0.10041,-0.16858,-0.59416,0.71301,-0.92493,0.19583,0.62931,-0.072886,-1.1572
221,1,22,-0.75293,-0.34502,0.23423,-0.44888,-0.36653,-0.23432,-0.28262,1.3816,-0.40676,0.54329,0.42555,0.5437,1.3551
221,1,23,0.95046,-0.44972,0.72776,-0.18882,-0.33331,0.16074,-0.14065,0.90467,-0.84983,-0.36985,0.29856,0.55792,1.0052
221,1,24,1.3126,-0.70711,0.21974,-0.37792,-0.2943,-0.66121,-0.53917,0.63545,0.22783,-0.95513,-0.94317,0.23646,1.1664
221,1,25,0.11619,-0.087805,0.31552,0.016337,-0.355,-0.34878,-0.59705,-0.11891,-0.3231,-0.99761,0.41995,0.40589,0.18537
221,1,26,-0.11393,0.18005,-0.26811,0.37797,-0.2436,0.14955,-0.41373,0.2263,-0.61266,-0.63535,-0.22763,0.43319,-0.68317
221,1,27,-0.40259,-0.2163,-0.31645,0.26937,-0.23959,-0.36952,-0.34224,0.68422,-0.42702,-0.09021,0.25191,0.14549,-0.43079
221,1,28,-0.010937,-0.46381,0.27628,1.2118,0.19196,-0.98478,0.23867,-0.29393,-0.24503,0.056969,-0.36342,0.26806,-0.29977
221,1,29,-0.1973,-0.3889,-0.048413,0.45787,0.32346,0.2622,0.09589,-0.074608,-0.16066,-0.14724,-0.13306,0.066907,-0.026831
221,1,30,0.54403,0.16165,-0.079042,0.32981,0.48422,0.90602,-0.39259,-0.16618,-0.47772,-0.47346,0.37991,-0.47436,-0.050923
221,1,31,0.91518,-0.60098,-0.17943,1.2005,0.69598,0.8576,-0.50527,-0.059815,0.42513,-0.2389,0.24628,-0.16222,0.25357
221,1,32,0.62971,-0.51596,0.067351,1.5544,0.89854,-0.73915,0.065982,-0.56863,0.5465,1.0677,0.21892,-0.32629,0.82518
221,1,33,0.27016,0.29475,0.3193,0.21323,0.047151,-0.73629,0.41233,0.29835,0.23625,0.74647,0.11576,0.26583,-0.71511
221,1,34,0.29353,0.098791,0.72767,-0.3142,-0.66007,-0.93005,0.23398,0.25596,0.30717,0.25949,-0.11129,-0.59385,-0.54395
221,1,35,0.4469,0.012757,0.4943,-0.40438,-0.65242,-0.31463,0.19216,-0.13461,0.075029,0.32143,-0.51384,0.34246,0.42016
221,1,36,-0.028764,-0.15371,0.41876,-0.7518,-0.74602,0.24563,0.1717,-0.017502,-0.38587,0.039871,-0.14791,-0.2462,0.68256
221,1,37,-0.85719,-0.32779,0.32769,-0.48338,-0.14881,0.13519,0.26882,0.62237,0.31386,0.36134,0.44572,-0.44803,0.90718
221,1,38,-0.35718,-0.13372,0.065633,-0.23263,0.62444,0.14309,0.17235,0.59892,0.68001,-0.77583,0.73562,-0.11719,0.87561
221,1,39,0.13214,0.43593,-0.27328,0.41049,-0.00012025,-0.45196,-0.21589,0.42771,0.87329,-0.62176,0.027678,0.36454,1.3901
221,1,40,0.33064,0.074972,-0.037476,0.85931,-0.3981,-0.61005,-0.050374,-0.78707,-0.023901,-0.081036,-0.43447,0.32555,1.1799
221,1,41,0.60405,-1.5518,-0.30808,-0.22368,-0.072522,-0.26653,0.25836,-0.80193,-0.20229,1.3095,0.46977,1.0802,0.13506
221,1,42,0.087898,-1.4519,0.065825,0.38065,0.6397,0.433,-0.093309,-0.79399,0.051577,0.706,0.50733,0.11169,0.45307
221,1,43,-0.092478,-0.30061,0.72076,0.57707,0.1272,0.41341,-0.1892,-0.89724,0.16857,0.21625,0.07884,-0.32344,0.61711
221,1,44,-0.51292,0.34401,0.6651,0.2971,0.51997,0.54073,-0.31902,-0.66786,-0.35752,0.34773,0.72874,0.23116,-0.13545
221,1,45,-0.038579,1.1463,0.31598,0.24916,1.1723,0.69937,0.20305,0.4364,-0.15544,0.11012,0.31591,0.48761,0.12349
221,1,46,0.53066,1.2706,0.13703,0.04594,0.75425,0.24708,0.079547,0.52869,-0.34461,-0.30693,-0.025387,0.97086,0.21648
221,1,47,0.046011,0.12069,0.67909,0.03331,0.65201,-0.32742,0.25374,0.2903,-0.2557,-1.1746,-1.0732,0.64155,-0.38407
221,1,48,-0.19404,-0.12046,0.8225,-0.079407,-0.034165,-0.088067,-0.2368,-0.012059,-0.12026,-1.7505,-0.19043,-0.013854,-0.63333
221,1,49,0.090973,-0.30366,0.29713,1.4481,0.54815,-0.50457,-0.49644,-0.24086,0.37119,0.77593,0.62702,0.019729,0.27389
221,1,50,-0.16613,-0.1657,0.57144,0.48874,0.19618,0.051622,-0.64026,0.2052,0.17825,0.65083,0.16582,-0.12563,-0.15202
221,1,51,0.26071,0.065069,0.096319,-0.10633,-0.87215,0.071017,-0.56456,0.64908,-0.94722,1.1344,-0.5561,0.51988,-0.9862
221,1,52,0.19441,-0.70654,-0.689,-0.50474,-0.38308,-1.3639,-0.41049,-0.60749,-0.58625,1.2481,-0.44009,1.3089,-1.0468
221,1,53,0.5733,-0.83132,-0.075763,-0.61394,-0.096335,-0.30531,-0.70741,-0.84012,-0.62348,0.35273,0.13937,0.50364,-0.23878
221,1,54,-0.052472,0.16306,1.0194,-0.72087,-0.28655,1.0261,-0.15736,0.16941,-0.19876,-0.91138,0.67873,0.16412,-0.22107
221,1,55,-0.50797,0.19422,0.60344,-0.60934,-0.19352,-0.34997,0.10177,-0.83192,0.76561,-0.42753,1.0841,-0.088147,-0.35213
221,1,56,-1.381,-0.23974,0.07934,-0.10042,-0.54207,0.66499,0.51855,-0.081327,0.13074,-0.38716,0.096821,-0.70945,0.066283
221,1,57,0.55803,0.56887,0.50555,-0.091929,0.16677,-0.88236,0.35703,0.60308,0.81069,1.6174,0.29687,-0.18875,0.94339
221,1,58,1.0611,0.99506,0.54683,0.33124,0.14825,0.25022,0.89468,-0.12344,0.46602,0.82289,-0.11776,-0.10606,1.2259
221,1,59,1.4285,1.3299,0.75995,0.30233,-0.34221,0.23192,0.28333,-0.49672,-0.17829,-0.86575,-0.50221,0.048952,-0.092308
