sub,run,trial,act_IFG,act_SMA,act_lVLPFC,act_rVLPFC,act_thalamus,conn_leftVS_LPFC,conn_leftVS_dACC,conn_leftVS_visual,conn_rFPN_VLPFC,conn_rFPN_precun,conn_rightVS_dACC,conn_rightVS_dPrecun,conn_rightVS_vPrecun
189,3,40,-0.49815,0.38184,-1.2727,-1.1583,1.2923,0.068258,-0.80617,0.36715,0.41129,-1.0252,0.0021714,1.0757,0.31689
189,3,41,-0.64419,-1.4105,1.2372,0.37808,-0.16542,-0.6312,-0.084217,0.1735,-0.97565,-0.74936,0.066838,0.62267,-0.12763
189,3,42,-0.45299,-1.5397,0.40192,0.34088,-0.46709,-0.33021,-0.19856,0.3264,-0.74213,-0.76366,-0.11635,0.3343,0.057035
189,3,43,-0.46769,-0.90935,0.045192,-0.065397,-0.13399,-0.16109,0.86544,0.37996,0.14525,-1.9446,-1.138,0.3837,0.70481
189,3,44,-0.81281,-0.73634,0.67959,-0.51069,0.018361,-0.0094463,-0.15495,-0.19074,0.39913,-2.5304,0.67089,0.11639,-0.52642
189,3,45,-1.0722,-1.3288,1.1337,-0.49938,-0.29579,0.099424,0.65475,-0.26355,1.1273,-1.1984,0.94195,0.13648,-0.079203
189,3,46,-1.2726,-1.0292,0.35033,-0.98874,-0.67049,0.52551,0.054344,-1.005,0.71218,2.7304,0.98513,-0.87796,-0.6004
189,3,47,-0.41337,0.13727,-0.44563,-0.63004,0.60819,-0.036796,0.29015,-0.21859,0.67382,1.6322,0.84974,0.12911,0.45016
189,3,48,0.30179,1.3625,-0.49138,0.042073,1.0085,0.056388,-0.032868,-0.58071,0.11994,0.92082,-0.47927,-0.22543,-0.26935
189,3,49,0.45,0.053471,0.20352,0.36014,0.98125,0.05604,0.063435,-0.35551,0.23748,0.06508,0.10381,0.77911,-0.22649
189,3,50,-0.48206,-0.38785,-0.29955,-0.24417,0.90196,0.54291,-0.55872,0.39673,-0.29876,0.34714,-0.58244,0.22318,0.25706
189,3,51,-0.026462,0.54352,-0.58777,-0.29435,0.01685,0.5454,-0.60634,0.7917,-0.10403,1.175,-0.7177,-0.2983,0.39087
189,3,52,0.55156,0.24798,-0.17269,0.27036,0.38073,-0.01197,-1.2174,1.2268,-0.20635,1.3703,-0.16301,0.13162,0.091035
189,3,53,-0.0085591,-0.47626,-0.17694,0.34542,0.19328,-0.60709,-1.0535,0.98163,-0.50415,1.8198,0.36942,-0.093441,0.14654
189,3,54,0.13431,-0.2774,0.17277,-0.24986,-0.26947,-0.90449,0.033337,0.18377,0.31328,-1.8589,-0.15386,0.42657,-0.63962
189,3,55,0.18771,-0.14392,1.3087,-0.70236,0.12167,-1.2928,0.66684,0.40261,0.66996,-3.3457,0.80243,-0.0032077,-0.94256
189,3,56,0.17248,-0.3391,1.4992,-0.40907,-0.12492,1.4379,0.64532,0.38895,0.66635,-2.3185,-0.20703,-0.07075,-0.65666
189,3,57,-0.5677,-0.94172,0.16591,0.015699,-0.46599,-0.22112,0.84796,-0.7435,0.0069772,-0.53668,-0.018466,0.041331,0.25235
189,3,58,0.28633,0.10214,-0.0474,0.094485,-0.03653,-0.097779,0.91899,-0.73458,-0.91679,-1.5352,0.23472,0.26917,-0.35256
189,3,59,0.80509,-0.18926,0.41088,0.8297,0.4329,0.50119,0.41592,-0.077499,0.25872,-2.1677,0.7424,0.34913,0.68992
189,3,60,0.98835,-0.61772,0.76499,1.2948,0.30851,0.28533,0.8279,-0.28399,-0.12009,-1.7293,0.92636,0.35725,1.3351
189,3,61,0.48149,-1.115,0.61302,0.66284,-0.53234,0.2498,0.36795,0.45993,0.33713,0.9198,0.59709,0.31004,0.48191
189,3,62,0.66213,-0.54803,0.49939,-0.73394,-0.47975,-0.27329,-0.26921,-0.1252,0.69127,2.0714,0.014373,-0.79858,-0.41289
189,3,63,1.3648,-0.027257,1.0377,-0.20527,0.52335,-0.030614,-0.019357,0.5713,1.4713,-0.17985,-0.28889,-0.24949,-1.276
189,3,64,0.74917,0.66226,0.16232,-0.45526,1.1034,-1.3099,-0.12605,-0.56295,-0.015473,1.0849,-1.1665,-1.8894,-0.57993
