sub,run,trial,act-leftVLPFC,act-leftVS,act-rightVLPFC,act-rightVS,leftVLPFCconn-DLPFC,leftVLPFCconn-MPFC,leftVLPFCconn-PCC,ECNconn-MPFC,ECNconn-insula,DMNconn-leftVS,bilateralVLPFCconn-parietal,leftVSconn-visual,rightVSconn-DLPFC
215,3,1,-0.71315,1.3916,-0.65771,1.7624,-0.61308,1.2019,0.042777,0.81455,-0.14749,-1.1411,0.51261,0.27216,0.068215
215,3,2,0.069927,0.54622,-0.31234,0.39162,-0.40589,0.030337,-1.2497,0.90434,-0.5178,0.08148,-0.0092288,-0.7204,0.36213
215,3,3,0.55222,0.37123,-0.67052,-0.10759,0.20622,-0.012476,-0.84545,-0.26405,-0.22763,0.079667,0.32486,-0.73599,1.2535
215,3,4,-0.97391,-0.2708,-2.0565,-0.28869,-0.28935,-0.79819,0.19018,0.24978,-0.15145,-1.1815,0.18527,-1.0125,0.88855
215,3,5,-0.28087,-0.46294,-1.088,-0.66168,-0.26025,-0.80276,-0.072525,-0.3245,1.5733,-1.0776,0.54721,-0.83455,0.79042
215,3,6,1.156,0.15507,0.095706,-0.38194,0.54741,0.13212,-0.20722,-0.35892,1.3254,-0.65738,1.8623,-0.61276,0.5491
215,3,7,1.4597,-0.61483,1.1385,-0.45743,0.77169,0.74274,0.71836,-0.6021,0.61468,0.016269,-0.28762,0.20259,0.10094
215,3,8,-0.46983,-0.26628,0.22219,0.27664,0.62879,0.14182,0.099683,-0.058467,-0.037276,0.0989,-0.33087,-1.5883,0.66625
215,3,9,-0.20796,0.45991,-0.17284,-0.002437,0.64502,-0.021769,0.47217,-0.51984,0.030388,0.32238,-0.0015146,-0.59943,-1.156
215,3,10,0.18633,-0.61397,-0.41872,-0.99403,0.12709,-0.019001,1.1509,0.56955,-0.84694,0.94272,0.29941,0.15389,-0.42873
215,3,11,0.79364,-0.67927,0.13417,-0.39222,-0.04139,0.48926,0.96649,0.58814,-0.82851,0.46546,0.72587,0.15859,-0.77666
215,3,12,-0.07942,-0.50361,0.26797,0.32757,-0.83574,0.86687,0.52842,0.4357,-0.80288,0.67555,0.88052,0.27813,0.62714
215,3,13,-0.17231,0.067509,-0.31146,0.76526,-1.0667,0.76084,0.95987,0.66932,0.11384,0.10097,-0.23366,-0.062759,0.82381
215,3,14,0.27481,0.38138,0.0089744,1.0463,-0.90367,-0.35676,-1.7425,-0.11737,0.48194,-0.28958,0.32804,-0.13942,0.4979
215,3,15,-0.53489,0.60191,-0.43468,0.96739,-1.3213,-0.23006,-1.273,-1.2478,0.86675,-0.74004,1.264,-0.15736,-0.49729
215,3,16,-0.092151,0.42342,-0.12067,0.39766,0.84216,-0.79134,-0.69755,-0.86966,0.65203,-0.41251,-0.60315,-0.50602,-0.87908
215,3,17,0.33545,1.7616,0.75631,1.272,-0.1951,-0.75784,-1.3841,-0.81942,0.14698,-0.42428,0.49801,0.47376,0.65722
215,3,18,2.0516,0.95901,1.5754,0.69117,-0.13875,0.32647,0.065521,-0.29702,0.54823,0.66851,-0.10194,0.76796,0.64012
215,3,19,1.745,0.60976,1.3421,0.31417,0.29857,0.91605,0.28076,-0.047767,0.37602,0.14339,0.91247,0.63003,-0.68569
215,3,20,-0.21766,0.54856,0.025261,0.30964,1.3957,0.085613,-0.85894,0.4145,0.3272,-0.41813,0.29514,0.22778,-0.39571
215,3,21,-0.40214,0.56033,-0.55435,0.96283,-0.10278,-0.27913,-0.15619,0.6092,0.0083355,-0.65405,0.49472,-0.54509,-0.36778
215,3,22,0.26658,0.1654,-0.58876,0.55875,-0.77888,-1.2219,-0.41383,0.96898,-0.47851,0.47092,-0.073711,-0.49224,0.10114
215,3,23,0.70581,-0.12073,0.12578,-0.51794,-0.66304,-0.74093,0.55546,0.86134,-0.24332,-0.2179,-0.41524,-0.51041,0.71276
215,3,24,1.5911,-0.20438,0.54938,-0.27442,-1.2984,0.0098827,0.55811,0.68251,0.057917,-0.42662,-0.79833,1.596,-0.70711
215,3,25,0.0056403,-0.15825,1.324,-0.046252,0.20225,0.011546,-0.29751,-0.47679,0.23695,0.46818,0.84508,0.4816,-0.036491
215,3,26,1.2769,0.037984,2.3052,0.051762,-0.32367,-0.28941,-0.58313,-0.29395,0.11447,0.05283,-0.26793,0.90664,0.12144
215,3,27,2.0501,0.3091,2.8071,0.1712,-0.77621,-0.68767,-0.87651,-0.59857,0.43122,-0.7488,0.36182,0.48471,-0.22316
215,3,28,-0.4572,-0.15531,0.39884,0.080279,-0.14622,-0.4416,-0.65265,-0.80815,0.46263,-0.42536,0.88479,-0.50265,-0.028952
215,3,29,-1.2268,-0.15084,-0.87157,0.14505,0.79099,-0.43537,-0.75373,-0.41455,0.34666,0.24217,-0.10488,-0.14973,0.5744
215,3,30,-1.0644,0.27372,-1.2124,0.66078,0.39941,-0.16035,-0.64105,-0.33843,0.4376,-0.20245,-1.2868,0.78318,0.1843
215,3,31,-0.16011,0.20115,-0.056651,0.8351,0.56278,0.29957,0.39378,-0.49188,-0.60719,-0.53119,-0.079827,0.27452,-0.14419
215,3,32,1.3819,0.58793,0.3711,0.58267,-0.5482,0.72435,0.70127,-0.080627,0.20457,-0.63419,0.7019,0.08134,0.2949
215,3,33,-0.061972,0.96998,-0.086028,-0.063999,-0.031064,0.024691,0.43845,1.3021,0.82196,-0.109,-0.075361,0.025291,0.41384
215,3,34,-0.37438,-0.69682,-0.0050645,-1.1055,-0.50667,-0.069095,0.017103,1.0956,0.89561,1.5314,-0.25384,-0.69111,0.44936
215,3,35,-0.4367,-1.4428,0.27332,-0.80666,-0.053884,0.23025,0.30365,-0.19378,-0.82128,-0.22621,-0.53735,-0.41608,-1.2753
215,3,36,-0.3919,-0.85055,-0.39553,-0.13386,-0.50235,0.60678,0.4649,0.35068,-1.6009,0.6732,-0.019233,0.45974,-1.7466
