sub,run,trial,act_leftVLPFC,act_PCC,act_rightVLPFC,act_preSMA,act_thalamus,act_rightParietal,conn_leftVLPFC_DLPFC,conn_leftVLPFC_MPFC,conn_leftVLPFC_PCC,conn_leftVS_visual,conn_rightVS_DLPFC
227,1,1,0.14747,-0.96114,-0.6395,0.32568,0.36296,-0.12789,0.075103,-0.59154,-0.87791,0.20698,-0.11685
227,1,2,0.85098,-1.5185,0.057702,0.18513,-0.33034,-1.2351,-0.53584,0.044847,-0.28003,-0.057666,-0.33452
227,1,3,0.79848,0.18441,1.0573,-1.4499,-0.26641,-1.0064,0.11411,-0.34268,0.32179,0.4818,-1.0992
227,1,4,0.58393,0.020246,1.5099,-2.327,0.067718,-0.31541,0.25686,-0.7735,-0.21165,0.10101,-0.62889
227,1,5,-0.098382,-0.34614,1.6734,-1.0063,-0.090242,1.279,-0.35055,0.021359,-0.28914,-0.12432,-0.48616
227,1,6,0.45968,-0.047837,1.4395,-0.57871,-0.12555,2.0496,-0.76423,-0.21253,0.63214,-0.96492,-0.38955
227,1,7,0.98799,0.56681,1.2742,-0.25379,0.42024,1.5022,-0.91778,0.6369,1.203,-0.56811,-0.59566
227,1,8,0.33642,0.27067,0.41903,0.29977,0.49477,-0.13092,-1.4592,0.083725,1.4759,-0.82055,-0.49301
227,1,9,-0.56712,0.085752,-1.3591,1.2177,1.2552,1.4338,0.17096,-0.6814,-0.35209,0.027937,-0.2869
227,1,10,-0.16448,-0.32123,-1.3363,0.15757,-0.10303,0.83905,0.29443,-0.082407,0.51474,0.61583,-0.8174
227,1,11,1.3281,0.13261,0.45178,-1.4882,-0.90045,0.44592,-0.24572,0.59949,0.74586,-0.23098,-0.024119
227,1,12,0.97728,0.078931,1.6295,0.54638,-0.446,0.11635,-0.41936,0.016938,-0.15158,-0.030617,0.18594
227,1,13,0.095504,-0.24278,0.63472,0.98878,0.23094,-0.77524,0.16571,-0.58239,1.5094,0.079536,0.053105
227,1,14,0.66532,0.0016548,0.7286,-0.81909,-0.41436,-1.1408,0.043134,0.34691,0.39465,-0.15692,0.25271
227,1,15,1.0513,0.69437,1.2579,-1.8688,0.084326,-1.1158,0.066717,-0.76478,-0.56659,-0.51298,0.33706
227,1,16,0.86836,1.1792,1.6473,-0.59174,-0.0022259,-1.0207,-1.6554,0.56405,-0.1386,-0.56476,0.89439
227,1,17,-0.34001,-1.2061,-0.66194,-0.087857,-0.65459,0.42653,-0.81793,-0.11271,-0.30848,-0.18801,0.65561
