sub,run,trial,act_IFG,act_SMA,act_lVLPFC,act_rVLPFC,act_thalamus,conn_leftVS_LPFC,conn_leftVS_dACC,conn_leftVS_visual,conn_rFPN_VLPFC,conn_rFPN_precun,conn_rightVS_dACC,conn_rightVS_dPrecun,conn_rightVS_vPrecun
230,1,1,0.58051,0.28249,-0.27467,0.38561,0.33518,0.91863,-0.36372,0.15363,0.42533,0.63395,0.67729,0.53819,-0.3274
230,1,2,0.96375,-0.22794,-0.10622,0.12449,0.22839,0.16522,-0.54889,-0.049818,-0.28252,0.062086,1.2641,0.20549,-0.38519
230,1,3,0.51099,-0.078821,-0.37986,0.55473,0.56546,0.21156,-0.30311,-0.1312,-0.5645,-0.17829,0.8028,0.050606,-0.043533
230,1,4,0.055339,0.23186,-1.3292,-0.022661,0.2798,0.33524,-0.36918,0.013666,-0.60595,-0.31144,0.99803,0.49414,0.15674
230,1,5,-0.22656,0.064525,-1.3394,-0.12733,-0.24389,-0.027112,-0.20136,1.0666,0.078442,-0.46043,0.34625,1.0194,0.57791
230,1,6,1.0786,-0.45641,-1.2114,-0.27941,0.074083,0.073,0.030941,0.48158,-0.21772,-0.33496,-0.067292,0.61311,0.50326
230,1,7,1.0509,-0.37566,-1.213,-0.074513,-0.36508,0.6038,1.0207,-0.594,0.16173,0.86139,-0.37157,-1.2866,0.15607
230,1,8,0.76426,0.68354,-2.7189,0.27322,0.26,-1.4345,-0.25947,-0.87426,0.22196,0.68119,0.10833,-0.97572,0.32927
230,1,9,0.007065,0.49138,-0.70619,0.85452,0.41543,0.69447,-0.87195,0.2232,1.3402,0.61942,-0.51778,-0.48315,-0.37325
230,1,10,0.42487,0.63219,0.018125,1.078,0.16002,-0.017901,-0.21136,0.50625,1.0507,0.56063,-0.57482,-0.2072,-0.24891
230,1,11,0.52761,0.85998,-1.0744,0.39157,0.32786,-0.42084,0.27593,-0.16089,0.63142,0.4175,-0.61294,-0.62719,-1.5747
230,1,12,1.0465,0.89839,-0.98374,0.31003,0.19066,-0.047994,0.1767,-0.14595,-0.79433,0.21919,0.22538,0.2604,0.69676
230,1,13,0.73882,0.041148,-0.90568,0.51059,-0.17067,0.97667,0.15699,1.2534,0.7214,0.16357,-0.82748,0.053631,-0.074604
230,1,14,-0.32973,-0.058435,-1.4427,1.0169,0.012351,0.94243,0.20603,0.98518,0.45479,0.019806,-0.42271,-0.23754,0.77795
230,1,15,-0.78367,0.39955,-1.6231,0.16736,0.057846,0.2826,0.66496,-0.19721,0.4758,-0.48853,0.075893,-0.80463,0.84608
230,1,16,-1.0315,0.27532,-1.3155,-0.70121,0.41503,0.21256,-0.16669,-0.27022,0.45125,-0.10476,0.96097,-0.024819,0.97107
230,1,17,0.12602,-0.31401,-0.70404,-0.50162,-0.2268,0.42808,0.52577,-0.60449,-0.58216,-1.1602,0.98754,-0.13716,-0.043434
230,1,18,-0.28566,-0.19606,-0.26649,-0.51003,-0.36146,-0.2203,-0.21795,0.030753,-0.19882,0.029005,1.3525,0.32331,0.10361
230,1,19,0.081879,0.23777,-0.53802,-0.20336,0.52595,-0.23766,-0.30319,-0.066354,0.63586,0.27803,0.83285,0.25203,0.011241
230,1,20,-0.12637,0.72827,-0.62808,0.35375,0.55898,0.1214,-0.1482,0.13299,0.088032,0.10097,0.73124,0.75009,-0.46828
230,1,21,-0.14319,-0.09315,-0.3505,0.69103,0.19512,0.37552,-0.90158,0.6318,-0.17,0.91836,0.17784,0.61611,-1.3494
230,1,22,-0.13858,0.76195,0.15778,1.5088,-0.11407,0.66987,-0.71056,0.96814,-0.092714,0.65399,0.56531,-0.014542,-0.8115
230,1,23,0.38465,1.1637,-0.63265,1.2145,-0.58318,0.1993,-0.53726,0.84997,0.34233,0.069033,0.44104,0.065478,-0.83517
230,1,24,-0.44915,-0.11086,-1.1506,-0.42321,-0.041732,-0.10993,-0.056698,0.1263,-0.4112,1.1736,-0.67989,-0.32787,-0.3575
230,1,25,0.32086,0.43647,-1.1328,0.66362,-0.61919,0.17036,0.28449,0.26965,-0.24489,0.22301,-1.1713,0.50877,0.43751
230,1,26,-0.75005,-0.12514,-0.83218,0.41315,-0.30091,-0.047976,-0.33982,0.0053877,-1.1876,-1.8217,-0.89459,-0.042101,0.39267
230,1,27,-0.72285,-0.79691,-0.95606,-0.026568,-0.2807,0.36742,-0.14341,-0.027098,-0.84223,-2.4734,-0.27806,-0.04685,-0.0017998
230,1,28,-0.96221,-0.71139,-0.37948,0.099473,0.64904,0.28571,0.43784,-0.38096,-1.2772,-0.53708,0.091143,-0.2413,0.21412
230,1,29,-1.1696,-0.082604,-0.072055,-0.31835,0.34438,0.45296,0.17381,-0.053454,-0.22424,-0.71488,0.73176,-0.039264,0.65436
230,1,30,-0.81879,-0.06938,-0.66206,-0.47134,-0.17135,-0.12646,0.0091172,1.0134,-0.065008,-0.38292,-0.39071,0.47055,0.18526
230,1,31,-0.53181,0.53734,-1.0141,-0.7051,0.48421,0.085679,0.43847,-0.044394,0.56589,-0.41787,0.11757,0.87776,-0.64172
230,1,32,-0.0059032,0.01023,-1.6333,-0.73761,1.0763,0.097677,0.27569,-0.22554,0.60717,1.1111,-0.081138,0.40382,-0.95924
