sub,run,trial,act_leftVLPFC,act_PCC,act_rightVLPFC,act_preSMA,act_thalamus,act_rightParietal,conn_leftVLPFC_DLPFC,conn_leftVLPFC_MPFC,conn_leftVLPFC_PCC,conn_leftVS_visual,conn_rightVS_DLPFC
234,1,46,0.93626,0.10222,1.3449,0.61481,-0.40697,0.11545,0.6592,0.30183,0.55413,-1.2537,0.1353
234,1,47,1.0102,-0.8821,0.59316,-0.35276,0.44683,-0.26601,-0.26971,0.72064,0.17643,1.0237,0.77562
234,1,48,0.17049,-1.3031,0.25946,-0.53037,0.94236,-0.87775,-0.22014,0.89393,0.30781,1.2893,-0.40742
234,1,49,-2.1595,-0.006445,0.44031,0.30458,-0.16774,1.5917,0.63174,0.5809,-1.4201,-1.0948,-0.84714
234,1,50,-1.3671,1.1171,0.35994,-1.1513,-0.24345,0.064273,0.63053,-0.12892,0.86424,-0.052198,-0.29536
234,1,51,-0.78121,0.63406,0.64334,-1.1013,-0.31185,-0.063031,0.024905,-1.356,0.93249,0.10503,-0.25347
234,1,52,-0.19309,0.32001,0.98619,-0.77131,-0.94689,0.9362,-0.57928,-1.2538,0.63983,-0.067035,0.15644
234,1,53,0.5003,-0.11282,0.72604,-0.19321,-0.74615,0.68675,0.39139,0.42371,0.73501,-0.59715,0.52415
234,1,54,0.24758,-0.43517,-0.68997,0.030773,-0.49337,-0.877,0.068233,-0.21518,0.65535,-0.97772,0.6316
234,1,55,0.60972,0.061362,0.069728,0.29927,-0.36709,-1.1324,0.094642,-0.59942,0.096659,-1.3221,-0.69185
234,1,56,-0.063924,0.074585,0.71771,-0.52519,-0.065345,0.44861,-0.39858,0.47173,-0.068507,-0.41229,-1.5705
234,1,57,-0.64813,-0.34422,0.18698,0.5161,0.52542,-0.79961,1.0259,-0.025554,0.22278,-0.50853,-0.060755
234,1,58,0.09837,-0.74212,0.27049,-0.25101,0.65888,-0.53568,0.75498,-0.025988,0.0085001,0.56351,0.098915
234,1,59,0.4754,-0.070309,0.67827,-0.18986,0.12384,0.24239,-0.40794,-0.45889,-0.59817,0.72634,-0.43906
234,1,60,0.76243,-0.20483,0.48706,-0.38279,-0.066253,-0.51215,-1.1106,-0.1762,0.20291,-0.40682,-0.82253
234,1,61,0.1019,-0.90882,0.17121,-0.53805,0.49468,-1.2106,-0.12089,-0.93159,-0.80196,-0.17712,-0.7608
234,1,62,0.19891,-0.6178,-0.27896,-1.0289,-0.074949,0.010655,0.6806,-1.0631,-0.045812,1.1889,0.65924
234,1,63,0.20421,0.021721,-0.28789,-0.79102,-0.31398,0.11779,-0.018658,-0.92426,0.055292,0.37559,-0.11609
234,1,64,-0.61906,0.40598,-0.34215,-0.55137,-0.77901,0.074513,0.71668,-0.96164,0.22901,-0.9989,-0.16987
