sub,run,trial,act_leftVLPFC,act_PCC,act_rightVLPFC,act_preSMA,act_thalamus,act_rightParietal,conn_leftVLPFC_DLPFC,conn_leftVLPFC_MPFC,conn_leftVLPFC_PCC,conn_leftVS_visual,conn_rightVS_DLPFC
231,1,1,-0.99662,0.074661,0.21719,1.19,0.29341,-0.71846,0.22077,-0.21534,0.69352,-0.29367,-0.50391
231,1,2,-1.2996,-0.7384,-0.53719,0.04806,-0.076129,0.30268,0.48865,-0.19665,-0.27387,0.099808,-0.43198
231,1,3,-0.25354,-1.3651,-0.090268,-0.18872,0.081012,0.08456,-0.61349,0.38169,-0.17159,0.14391,-0.3537
231,1,4,0.58435,-0.6988,1.3045,0.94008,0.24412,-0.72268,-0.63791,0.44665,0.19766,-0.80113,-0.5574
231,1,5,-0.4221,-0.16174,2.2926,1.0867,0.3937,-0.64348,0.17431,1.3381,0.018893,-0.72652,-1.0083
231,1,6,-1.2912,-0.076852,0.8168,-0.14535,0.22926,-0.10482,-0.14171,0.68258,-0.048765,-0.67471,0.042734
231,1,7,-1.2631,-0.72338,0.33256,-0.38182,0.6602,0.085457,-0.19403,0.18799,-0.69181,0.21354,0.36094
231,1,8,-0.62494,-0.77541,-0.083384,-1.5492,0.4535,0.26161,-0.46521,-0.42189,-0.56517,0.16976,0.24757
231,1,9,-1.44,-0.23858,-0.014291,-0.071043,1.0803,-0.41771,-1.2101,0.83164,-0.3453,0.44824,0.62569
231,1,10,0.035572,-0.86041,0.073375,0.66555,0.89262,0.6222,-0.70204,-0.32954,-1.3529,-0.71643,-0.37785
231,1,11,0.21912,-0.84527,-0.44299,-0.57116,0.5259,0.13461,-0.36773,-0.69131,-0.5698,0.14626,0.34343
231,1,12,-0.038503,-1.1464,-0.085097,-1.3369,0.14769,-1.0545,0.0096095,-0.36277,-0.27803,-1.2798,0.41788
231,1,13,-0.52354,-0.84331,0.90178,-1.7606,-0.088678,-1.6128,0.66875,0.32422,-0.23807,-0.3481,0.26558
231,1,14,-0.10275,-1.173,1.3832,-0.64322,-0.86085,-0.11436,0.21411,-0.016704,-0.17349,-0.4714,-0.52323
231,1,15,0.23841,-1.3867,0.71704,0.26924,-0.9193,0.74433,-0.27092,-0.55913,-0.88144,0.72911,-0.47148
231,1,16,0.61974,-1.758,0.65784,-0.26028,-0.80312,0.99444,-0.64838,-0.39984,-0.67223,-0.022053,-0.22975
231,1,17,-0.7249,-0.089234,0.96464,0.41179,0.20891,-0.036051,0.55746,0.96441,-0.025417,0.43567,0.15551
231,1,18,-0.55953,-0.24278,0.67162,0.64728,-0.25287,-0.018832,0.5226,0.88825,1.3717,0.25276,-0.14918
231,1,19,-0.67245,-0.76167,0.16043,0.64313,0.72368,0.027538,0.012549,0.77799,0.16661,0.23244,0.56189
231,1,20,0.047912,0.1335,0.0075909,0.53534,0.57919,-0.608,-0.40718,0.48756,-0.43265,-0.72142,0.55642
231,1,21,0.13883,0.54016,0.066461,0.23547,-0.036957,-0.78287,0.058413,-0.92548,-0.66196,-0.17993,-0.78203
231,1,22,0.044831,-0.27499,0.34895,0.9531,-0.19765,-1.0993,0.12239,-1.0058,-0.2289,-0.51809,-0.65783
231,1,23,-0.0055976,-0.53869,0.81062,0.40539,-0.22499,-1.1793,-0.61425,-1.0454,-0.38358,-0.32916,-0.47134
231,1,24,-0.095343,0.34366,0.92462,-0.097864,0.25717,-0.72768,-0.28851,0.021675,0.57693,0.00065828,0.52046
231,1,25,-1.0231,-0.38693,0.64235,0.52664,-0.32057,-0.4645,1.1494,-0.61724,-1.2567,0.80794,-0.34723
231,1,26,-1.4661,-0.92843,0.79403,0.50534,-0.78386,-0.29769,1.3456,-0.94314,-0.19651,0.33211,-0.6759
231,1,27,-1.7223,-1.5881,1.3678,-0.26405,-0.58655,0.24545,0.92863,-1.034,-1.3562,0.8516,-0.40532
231,1,28,-1.1658,-1.4544,1.8015,-0.041235,-0.26703,0.5219,0.35793,-0.23672,-0.24863,0.29287,0.44788
231,1,29,-0.26815,-0.83004,0.99143,-0.092818,0.29959,1.1934,0.49265,-0.52981,-0.52698,0.13179,0.25657
231,1,30,-0.253,-0.71044,1.0117,-0.17265,1.0423,0.21438,0.23613,-0.98171,-0.37471,-1.2985,0.14115
231,1,31,-0.50279,-0.73575,0.54022,-0.52086,0.29141,-0.12348,-0.95188,-0.98186,0.013715,0.18574,0.52743
231,1,32,-0.2634,-0.38402,0.32048,-0.76479,0.87079,-0.87282,-1.704,-1.4433,-0.67202,-0.03814,-0.2901
231,1,33,-0.72968,-0.62841,-0.7316,-0.095706,0.41909,0.28773,0.21315,-0.81035,0.13555,-0.066557,0.80221
231,1,34,-0.63728,-0.072104,-0.91574,-1.1658,-0.1581,-1.2043,0.074622,-0.73571,-0.21022,-0.45189,-0.19917
231,1,35,-0.52223,0.5951,0.025382,-0.17574,-0.048797,-2.0169,-0.016865,0.40267,-0.67887,-0.45205,-0.34709
231,1,36,-0.16447,-0.37152,1.6646,1.2967,-0.18447,-1.1757,-0.51455,-0.59726,0.56029,-0.17003,-0.52537
231,1,37,-0.23266,-0.70691,0.96656,1.6417,-0.15826,0.83067,0.24705,-1.1017,1.179,-0.92657,0.22242
231,1,38,-0.28379,0.3038,0.40617,1.1726,-0.48875,1.6175,0.16952,-0.13563,-1.1892,-0.043991,-0.37473
231,1,39,-0.013055,0.57659,-0.17876,0.44465,-0.67101,-0.098988,0.70508,-0.086394,-0.32558,0.090611,-0.11001
231,1,40,-0.099724,-0.80051,-0.41542,0.24772,-0.060388,-0.87637,-0.41976,0.45243,0.75176,0.25298,0.16257
