sub,run,trial,act_IFG,act_SMA,act_lVLPFC,act_rVLPFC,act_thalamus,conn_leftVS_LPFC,conn_leftVS_dACC,conn_leftVS_visual,conn_rFPN_VLPFC,conn_rFPN_precun,conn_rightVS_dACC,conn_rightVS_dPrecun,conn_rightVS_vPrecun
226,3,1,-0.94801,-0.20984,-1.3555,-1.0495,0.072062,1.2022,-0.54034,0.0055155,0.01617,-0.99173,0.24032,0.35696,-0.29115
226,3,2,-0.45743,-0.74947,-0.6639,-1.0639,-0.64436,-0.073055,-0.0024044,0.23565,0.63432,-0.8669,0.32396,0.38698,-0.043792
226,3,3,0.15393,0.32825,-0.087944,-0.34194,-0.12056,-0.59353,0.33168,0.60661,0.31825,-0.30132,0.33045,0.3858,-0.77742
226,3,4,0.85518,0.18802,1.0934,0.8223,0.7861,-0.71171,0.52161,0.29672,-0.58523,0.20833,0.41892,0.45814,-0.26653
226,3,5,0.86061,-0.15246,1.588,1.2088,1.7747,0.20997,0.018127,-0.44215,-0.91321,-0.26981,-0.58031,-0.091329,0.10506
226,3,6,0.069395,0.51606,1.0412,1.6346,1.5123,0.3729,-0.3475,-0.94052,0.19901,0.16748,-0.82804,-0.64032,0.53713
226,3,7,0.62425,1.3251,1.1301,1.8707,0.62851,0.11174,-1.7351,-0.55601,1.005,-0.10869,-0.19665,-1.1379,0.62494
226,3,8,0.25124,0.88743,1.5941,1.3506,0.67464,-0.46989,0.083753,-0.29092,0.98104,-0.084899,0.5705,-0.8028,0.093944
226,3,9,-0.059389,0.59835,-0.56888,-2.5101,-0.44873,-1.1699,-0.59999,-1.1345,0.33219,-0.67914,0.16069,0.40547,0.96629
226,3,10,0.15319,0.9538,-1.4857,-2.3317,-0.72432,-1.0413,-0.4426,-0.20811,0.36267,-0.41092,-0.33285,0.43193,0.17895
226,3,11,-0.60769,0.10638,-1.3491,-1.2317,-0.18504,-0.037176,-0.30103,0.44068,0.50838,-0.73784,0.71459,0.43021,0.72831
226,3,12,-0.84416,-0.86116,-0.15266,1.1122,0.32059,-0.09368,-0.085768,0.16825,-0.81967,-0.54493,0.44315,0.72711,0.48259
226,3,13,0.24231,0.075146,0.14391,1.0573,0.29415,0.30256,0.45127,0.24523,-1.2675,-0.3792,0.0054925,0.82457,0.19974
226,3,14,0.6344,0.25259,0.13402,0.31729,0.18836,-0.32645,0.063735,-0.013543,0.012241,-0.17371,-0.18548,0.24359,0.39865
226,3,15,0.77918,-0.35279,-0.26191,0.70143,-0.0053234,-0.59618,-0.26324,0.23985,-0.18594,-0.011331,0.33655,-0.2129,0.70261
226,3,16,0.603,0.29034,-0.11866,1.2138,-0.38363,-0.042638,-0.39811,0.17,0.078871,0.32353,0.11862,-0.76468,0.12317
226,3,17,0.38973,0.29104,1.2366,0.10081,0.12298,0.18607,0.66491,0.15408,-0.2246,0.73217,0.11221,-0.38022,-0.58281
226,3,18,0.55931,0.71662,1.4893,1.446,-1.0309,-1.2819,-0.63195,0.091499,-0.084296,1.2108,-0.21027,-0.50084,0.082863
226,3,19,0.2418,0.38797,1.6424,1.9789,-0.06372,-0.020305,0.51094,0.045979,-0.37495,1.1248,-0.14271,-0.00029558,0.68641
226,3,20,0.012421,0.15905,1.7268,1.705,0.8235,-0.22513,0.39443,-0.33127,0.3588,0.023704,0.4217,-0.28394,0.72852
226,3,21,0.024391,0.60967,1.7024,1.5115,1.9877,0.21084,0.1649,-0.58189,0.086181,-0.32489,0.95675,-0.67547,0.083672
226,3,22,0.47893,0.6585,1.4528,1.08,1.4165,-0.23953,0.061554,-0.53445,-0.51468,0.14096,0.01769,-0.28056,-1.2781
226,3,23,1.0021,0.80498,-0.1877,0.51197,0.88459,-0.13642,0.023259,-0.67149,-0.29226,-0.2354,-2.1656,0.35473,-0.8566
226,3,24,1.0844,1.0573,0.40425,0.41613,0.40717,0.93414,-0.021833,0.84265,-0.0060208,-0.16448,-1.3281,0.14206,-0.27348
226,3,25,0.061531,-0.20558,-0.22048,-0.52957,-0.3285,0.21905,-0.86684,-0.095717,0.058921,-0.057283,-0.80134,-0.053816,-0.74153
226,3,26,0.34143,-1.1459,-0.23993,-0.13646,-0.55609,-0.11548,-0.51493,-0.35819,-0.15864,0.41465,-1.1699,-0.82014,-0.2949
226,3,27,0.89025,-0.56338,-0.2068,0.6769,0.090467,-0.32918,-0.7308,-0.34667,-0.083622,-0.68177,-0.29206,-0.86263,0.30014
226,3,28,0.88912,-0.42446,0.1884,0.67849,0.5615,-0.39697,-0.44904,0.25399,-0.47478,-0.31727,-0.51953,-0.63337,-1.0668
226,3,29,1.2686,-0.32293,0.24813,1.0777,0.54454,-0.054942,-0.20756,0.91777,-0.24617,-0.076238,-0.088743,-0.97738,-0.20261
226,3,30,1.1648,-0.18792,0.42704,1.5396,1.2322,1.0426,0.27609,0.48369,-0.18245,0.17363,0.82264,-0.045828,0.69227
226,3,31,0.49708,-0.11333,0.41721,1.3838,1.9014,-0.66614,0.31663,0.35074,0.42714,-0.4157,0.9321,0.44119,0.75461
226,3,32,0.5584,-0.12382,0.3236,-0.11398,1.5849,-0.96466,-0.039309,0.17203,0.38497,-0.68372,0.80802,0.23579,-1.0185
226,3,33,0.89718,0.96284,-1.1366,-1.4508,0.76092,0.67658,0.062755,0.6137,-0.61141,-0.51819,0.10921,0.37977,-0.67357
226,3,34,0.3645,1.0844,-0.52915,-0.29504,-0.13424,-0.0088158,-0.26322,0.80048,0.16096,-0.17481,0.21919,-0.11566,-0.86544
226,3,35,0.37936,0.75312,0.83085,1.1992,-0.31016,-0.54388,-0.036763,0.44548,-0.56976,-0.75985,-0.04344,-0.34945,-0.45105
226,3,36,0.036949,0.69478,0.68519,1.0913,0.036122,-0.72086,0.54224,-0.074751,0.36135,-0.42809,0.46665,-1.3698,-0.73176
226,3,37,-0.8554,-0.24635,0.75363,0.64441,-0.60328,-0.99375,0.96957,-0.15812,0.02475,-0.30889,0.16833,-0.43186,0.19211
226,3,38,-1.2648,-0.9695,0.63688,-0.019397,-1.2537,-0.28168,0.18384,0.05662,0.0054728,-0.78896,0.04134,0.056485,0.39478
226,3,39,-0.10544,-1.0758,0.16109,-0.33519,-0.89933,-0.051293,-0.85413,-1.2912,-0.20181,-0.41211,0.85041,0.9519,-0.15539
226,3,40,0.21544,-0.17809,-1.0826,0.055019,0.031984,0.22881,-0.10359,-1.1494,0.093723,0.595,-0.56559,0.66169,-0.51782
226,3,41,0.25271,-0.11337,-0.013524,-0.027055,0.40186,-1.8268,-0.040349,-0.41066,0.29628,-0.16347,-1.1403,-0.70869,-0.75908
226,3,42,-1.0283,0.66273,-0.31523,-0.91135,0.63474,-1.1278,-0.57887,0.55099,0.5106,-0.79227,-0.49759,-0.78377,-0.2242
226,3,43,0.0012193,0.93815,-0.20599,-0.52505,0.91403,-0.17294,-0.26913,0.048909,0.43646,-0.17172,0.34233,-0.041987,0.044881
226,3,44,0.25376,-0.24571,0.48161,0.23507,0.92173,0.30904,-0.56676,0.15498,0.25952,0.25429,0.29894,0.27386,-0.18828
226,3,45,-0.047114,-0.99279,0.52103,0.39155,0.74733,-0.39337,-0.3381,-0.17505,-0.15158,1.3308,0.043788,-0.59948,-0.78825
226,3,46,-0.078542,-1.5083,0.52587,-0.10884,-0.73013,-0.6212,0.36935,-0.94136,0.48515,0.86636,0.21255,-0.76055,-0.77574
226,3,47,0.21868,-0.7863,0.073596,-0.41946,-0.89511,-0.58837,1.2005,-1.8158,0.82059,0.56085,0.27073,0.26841,-0.4313
226,3,48,-0.30496,-0.21673,-0.7236,-0.15215,-1.3013,0.12543,0.63168,0.1155,0.073008,-0.097882,0.60546,0.058464,0.77808
226,3,49,0.77073,0.19141,0.042062,0.75019,-0.35075,0.66228,0.55604,0.57607,-1.1028,0.29694,0.21271,0.5909,0.93713
226,3,50,0.26027,-0.5506,0.22533,-0.29911,-0.18388,0.2147,-1.0083,0.021016,-0.25535,-0.28978,-0.71429,0.092231,0.45285
226,3,51,0.59849,0.31729,0.50852,-0.82201,0.53956,0.32284,-0.82167,0.056452,-0.6002,0.94827,-0.51689,0.087795,0.039648
226,3,52,0.41218,-0.264,0.54053,0.012823,0.26943,0.092095,0.68605,0.46051,-0.1044,0.61577,-0.054428,-0.58293,0.038005
226,3,53,0.62771,-0.66789,0.42421,-0.078278,0.01456,-0.32277,1.3839,0.29617,0.16479,0.84239,1.1738,-0.0055796,-0.24933
226,3,54,-0.066188,-1.2002,0.48008,0.018227,0.71125,-0.031451,0.69261,0.6864,0.2771,-0.048087,0.75551,0.13203,-0.48012
226,3,55,-0.056136,-0.46661,0.14163,0.13236,0.60265,0.69178,-0.59684,0.25917,0.35133,-1.107,-1.1446,-0.53596,-0.39646
226,3,56,-0.63794,-0.60307,-0.74365,0.16845,-0.44736,0.63548,-0.64189,-0.29383,0.92296,-0.99112,-0.81022,-0.54715,-0.44886
226,3,57,-0.64657,0.23679,-0.60759,-1.2451,0.73137,0.23636,-0.1904,-0.39292,-0.15384,0.32096,-0.028596,0.099097,-0.86803
226,3,58,-0.10965,-0.93803,-0.36019,0.0044772,0.16107,-0.11256,0.92554,-0.55375,0.11832,-0.032487,0.5657,0.14085,0.41914
226,3,59,0.63761,-1.2774,-0.50924,0.32708,0.73099,-0.40551,0.55642,0.099686,-0.19812,-0.86846,0.70952,-0.59819,0.15377
226,3,60,1.1082,-0.7602,0.63599,0.29076,0.78149,-0.52683,0.45693,0.50267,0.68513,0.30546,0.89237,-0.74105,-0.12863
226,3,61,0.98336,0.01657,0.54795,-0.66083,0.77215,-0.42009,-0.27096,0.076218,0.18202,-0.55234,0.59813,1.0046,-0.63451
226,3,62,0.6363,0.4053,0.83445,0.24092,0.36397,-0.37767,-0.62549,-0.41841,0.14385,-0.32318,-0.92757,-0.10309,-0.041675
226,3,63,0.65564,-0.024921,0.46393,1.0662,-0.34732,-1.0736,-0.45093,-0.046429,0.57573,1.6592,-1.2004,-0.34671,0.15267
226,3,64,0.62215,-0.084056,0.39851,0.77294,0.23243,-0.51085,0.25101,0.71594,-0.01558,-0.16878,-1.2207,-0.58167,-0.3109
