Sub	tsnr	fd_mean
sub-189	1.6010	-1.2581
sub-203	1.3730	-0.3892
sub-207	-1.8249	-0.2027
sub-208	0.3182	-0.4986
sub-209	-0.9822	2.7232
sub-210	0.5169	-0.2268
sub-211	1.2274	-0.8519
sub-212	-0.3566	1.7870
sub-213	1.1989	-0.3225
sub-214	-0.9599	-0.7176
sub-215	1.0386	-0.8805
sub-217	-0.8300	1.2137
sub-218	0.5360	-0.3553
sub-219	1.3496	-0.7265
sub-220	-0.9604	-1.3318
sub-221	-1.7373	0.8750
sub-222	-0.6465	1.7099
sub-225	-0.1546	-0.0114
sub-226	-0.6632	-0.1238
sub-227	-0.2862	0.7809
sub-228	-0.5290	0.0794
sub-230	0.0862	0.9532
sub-231	0.6921	-1.1280
sub-233	0.7638	-0.0603
sub-234	0.1965	0.3033
sub-235	-2.1023	-0.5384
sub-236	0.8821	-1.4567
sub-237	0.6248	-0.4047
sub-238	-0.3720	1.0591
