Sub	task	run	tsnr	fd_mean	outlier_run_Custom1
sub-189	rest	04	53.0763	0.1312	False
sub-189	rest	03	56.7450	0.1095	False
sub-189	rest	02	56.3147	0.1205	False
sub-189	rest	01	54.1201	0.1090	False
sub-203	rest	04	56.0423	0.2009	False
sub-203	rest	03	56.2772	0.1763	False
sub-203	rest	01	49.7189	0.1685	False
sub-203	rest	02	52.4096	0.2229	False
sub-207	rest	04	24.4697	0.2709	False
sub-207	rest	01	23.5195	0.1390	False
sub-207	rest	03	25.1374	0.2313	False
sub-207	rest	02	24.1950	0.1915	False
sub-208	rest	04	43.2971	0.2330	False
sub-208	rest	01	48.0792	0.1478	False
sub-208	rest	02	40.4640	0.1556	False
sub-208	rest	03	39.5018	0.1946	False
sub-209	rest	01	29.7365	0.5155	True
sub-209	rest	03	27.5534	0.5592	True
sub-209	rest	02	27.3887	0.8378	True
sub-209	rest	04	31.3801	0.4594	False
sub-210	rest	04	46.1029	0.1934	False
sub-210	rest	01	46.9314	0.1782	False
sub-210	rest	03	46.7546	0.1689	False
sub-210	rest	02	40.5257	0.2839	False
sub-211	rest	03	54.8260	0.1522	False
sub-211	rest	04	52.4109	0.1811	False
sub-211	rest	01	52.5049	0.1132	False
sub-211	rest	02	47.0189	0.1633	False
sub-212	rest	02	34.1934	0.4375	False
sub-212	rest	01	38.1207	0.3204	False
sub-213	rest	03	52.4912	0.1985	False
sub-213	rest	01	50.6755	0.2149	False
sub-213	rest	02	50.4132	0.2030	False
sub-213	rest	04	48.7872	0.1751	False
sub-214	rest	03	33.3198	0.1323	False
sub-214	rest	02	29.3101	0.2104	False
sub-214	rest	04	34.6657	0.1218	False
sub-214	rest	01	30.8987	0.1914	False
sub-215	rest	03	48.4164	0.1690	False
sub-215	rest	02	51.3918	0.1225	False
sub-215	rest	04	45.6876	0.1850	False
sub-215	rest	01	52.3078	0.1234	False
sub-217	rest	04	33.0185	0.2340	False
sub-217	rest	02	32.4623	0.3638	False
sub-217	rest	01	28.0014	0.4405	False
sub-217	rest	03	36.7451	0.2808	False
sub-218	rest	04	27.7974	0.7526	True
sub-218	rest	01	44.1603	0.1951	False
sub-218	rest	02	28.6482	0.5723	True
sub-218	rest	03	33.2025	0.5138	True
sub-219	rest	04	51.8853	0.1746	False
sub-219	rest	02	53.6230	0.1510	False
sub-219	rest	03	53.2337	0.1683	False
sub-219	rest	01	51.9031	0.1589	False
sub-220	rest	03	31.7499	0.1051	False
sub-220	rest	01	34.0018	0.0923	False
sub-220	rest	04	32.6479	0.1084	False
sub-220	rest	02	27.5034	0.1391	False
sub-221	rest	01	24.7594	0.2373	False
sub-221	rest	03	24.8828	0.3067	False
sub-221	rest	04	23.2037	0.3545	False
sub-221	rest	02	23.9135	0.3043	False
sub-222	rest	04	32.6037	0.3570	False
sub-222	rest	01	35.2816	0.3877	False
sub-222	rest	03	24.3973	1.1672	True
sub-222	rest	02	24.2876	1.0233	True
sub-225	rest	03	36.4289	0.2428	False
sub-225	rest	01	39.7436	0.1516	False
sub-225	rest	02	37.9662	0.2550	False
sub-225	rest	04	40.6750	0.2491	False
sub-226	rest	01	35.4373	0.1961	False
sub-226	rest	03	28.0782	0.7187	True
sub-226	rest	02	32.5326	0.2337	False
sub-226	rest	04	27.6256	0.5436	True
sub-227	rest	04	36.9115	0.3761	False
sub-227	rest	01	37.1367	0.2754	False
sub-227	rest	03	37.7871	0.2119	False
sub-227	rest	02	35.9992	0.3070	False
sub-228	rest	02	35.9705	0.2329	False
sub-228	rest	01	36.6750	0.2096	False
sub-228	rest	04	35.3973	0.2453	False
sub-228	rest	03	35.4269	0.2418	False
sub-230	rest	04	33.0753	0.3791	False
sub-230	rest	02	38.9615	0.2816	False
sub-230	rest	01	51.1799	0.1591	False
sub-230	rest	03	34.2712	0.4098	False
sub-231	rest	02	52.1469	0.1051	False
sub-231	rest	04	43.3193	0.1553	False
sub-231	rest	03	41.3387	0.1462	False
sub-231	rest	01	49.2929	0.1084	False
sub-233	rest	03	39.1979	0.3044	False
sub-233	rest	02	55.1462	0.1400	False
sub-233	rest	04	48.6800	0.1827	False
sub-233	rest	01	46.6218	0.2544	False
sub-234	rest	04	40.6878	0.2426	False
sub-234	rest	01	41.6889	0.2510	False
sub-234	rest	03	41.5347	0.2491	False
sub-234	rest	02	42.6545	0.2637	False
sub-235	rest	01	23.9890	0.1508	False
sub-235	rest	03	21.5502	0.1629	False
sub-235	rest	02	20.3184	0.2095	False
sub-235	rest	04	20.3523	0.1942	False
sub-236	rest	01	48.9951	0.0929	False
sub-236	rest	02	51.6927	0.0804	False
sub-236	rest	04	52.4693	0.1020	False
sub-236	rest	03	36.9114	0.1268	False
sub-237	rest	01	50.7064	0.1491	False
sub-237	rest	02	45.3385	0.2009	False
sub-237	rest	03	43.8808	0.2367	False
sub-237	rest	04	41.6361	0.1766	False
sub-238	rest	03	33.1092	0.4352	False
sub-238	rest	04	31.6324	0.6579	True
sub-238	rest	02	35.5802	0.2858	False
sub-238	rest	01	40.0837	0.2284	False
