subject	target	isReward	GroupCount	mean_guessPupilArea	mean_outcomePupilArea	condition
236	RTPJ	1	48	1312.581468	1335.403785	RTPJ_reward
236	RTPJ	0	48	1210.309363	1236.136441	RTPJ_punish
237	VLPFC	1	47	1760.071993	1745.169413	VLPFC_reward
237	VLPFC	0	47	1626.997596	1644.590361	VLPFC_punish
237	RTPJ	1	47	1651.012504	1597.618838	RTPJ_reward
237	RTPJ	0	45	1658.485009	1687.169975	RTPJ_punish
238	VLPFC	1	48	1298.036665	1370.320739	VLPFC_reward
238	VLPFC	0	47	1184.535807	1336.187222	VLPFC_punish
238	RTPJ	1	48	1274.357555	1274.885311	RTPJ_reward
238	RTPJ	0	47	1101.98037	1213.237312	RTPJ_punish
