subject	target	isReward	GroupCount	mean_guessPupilArea	mean_outcomePupilArea
189	VLPFC	1	48	1399.34661052875	1401.76716173541
189	VLPFC	0	48	1414.26380074345	1500.33259874129
189	RTPJ	1	48	1391.59234841928	1435.68874178223
189	RTPJ	0	48	1399.41425137209	1497.38977675276
203	VLPFC	1	47	827.948178485765	899.994279217562
203	VLPFC	0	48	868.766713188604	981.710575604019
203	RTPJ	1	48	774.711878472209	859.117603028518
203	RTPJ	0	48	851.533520994716	953.969033528141
207	VLPFC	1	30	4745.71949682614	4653.41466481022
207	VLPFC	0	32	5208.17963267824	5402.01937102193
207	RTPJ	1	31	4916.26517783515	4860.15944750292
207	RTPJ	0	31	5262.47897730594	5434.12093455167
208	VLPFC	1	48	829.151706677934	894.271171975627
208	VLPFC	0	45	1008.8963272539	1068.89488062077
208	RTPJ	1	46	962.19164222628	982.670891697257
208	RTPJ	0	45	988.32915318924	1044.76846944335
209	VLPFC	1	47	1694.36602232478	1697.53759712311
209	VLPFC	0	47	1682.57777879175	1797.15862516465
209	RTPJ	1	47	1562.04260404681	1586.71387898751
209	RTPJ	0	47	1699.14403824806	1876.12654947482
210	VLPFC	1	45	986.539571831479	1054.94047884905
210	VLPFC	0	45	1021.14213889264	1098.98280773142
210	RTPJ	1	46	1004.62052070638	1027.29609070945
210	RTPJ	0	45	1020.26898093779	1107.70647688647
211	VLPFC	1	45	2405.70161414297	2549.12373316998
211	VLPFC	0	45	2473.35510663196	2778.07911818127
211	RTPJ	1	45	2375.22274337534	2530.28263195449
211	RTPJ	0	41	2388.51892540447	2653.8437499161
212	VLPFC	1	29	1720.57684430605	1866.34988282871
212	VLPFC	0	25	1435.25807529703	1320.40043975321
212	RTPJ	1	29	1546.99102877123	1639.2759641406
212	RTPJ	0	25	1722.2853306494	1898.48300133627
213	VLPFC	1	32	612.789781069409	681.992528063313
213	VLPFC	0	32	696.922273859264	803.705929806434
213	RTPJ	1	32	636.622351192373	703.378006809251
213	RTPJ	0	31	598.883729557054	676.911044917381
214	VLPFC	1	47	2052.45549471499	2124.31563840531
214	VLPFC	0	47	1866.89989200858	2003.13350097905
214	RTPJ	1	48	1904.8512806728	1996.62433477858
214	RTPJ	0	48	1737.77365897628	1886.10595299879
215	VLPFC	1	48	1852.67611813867	2157.82778965143
215	VLPFC	0	47	1889.38992785086	2242.30080419002
215	RTPJ	1	47	1856.99936503661	2143.60040749604
215	RTPJ	0	46	1935.7592994133	2311.50909103224
216	VLPFC	1	32	1756.62508173731	1705.98729504369
216	VLPFC	0	30	2096.52859668959	2169.11211042305
216	RTPJ	1	32	1755.95832226785	1887.21520211428
216	RTPJ	0	32	1910.72111587958	2158.83369233137
217	VLPFC	1	48	883.163392298688	945.428314846909
217	VLPFC	0	48	789.542004832873	866.226835623129
217	RTPJ	1	48	857.951211575608	915.032347896801
217	RTPJ	0	47	947.672397899015	1040.38584386111
218	VLPFC	1	45	1535.76398033173	1581.63341833308
218	VLPFC	0	45	1587.99255405422	1638.0347960999
218	RTPJ	1	44	1423.60822698392	1397.31157180183
218	RTPJ	0	44	1528.71470763331	1632.72084473241
219	VLPFC	1	47	1229.70380069654	1343.35713622688
219	VLPFC	0	47	1219.31736285092	1330.80868612401
219	RTPJ	1	48	1229.93208349346	1351.39036648694
219	RTPJ	0	46	1185.90097645039	1283.4985045871
220	VLPFC	1	47	1985.97257156319	2024.49149051356
220	VLPFC	0	47	1880.4269323158	1867.77412704978
220	RTPJ	1	47	1788.91344861147	1818.20666308085
220	RTPJ	0	47	1825.36481161971	1921.10846331584
221	VLPFC	1	47	1542.10576315127	1671.70102849147
221	VLPFC	0	47	1671.04420540691	1851.36809916488
221	RTPJ	1	48	1576.08896105538	1694.12014315148
221	RTPJ	0	48	1473.96234662931	1654.33739998254
222	VLPFC	1	48	3618.88590619101	4007.41220184033
222	VLPFC	0	48	3654.5188953592	3946.73325588774
222	RTPJ	1	48	3550.90625375064	3827.3036578038
222	RTPJ	0	48	3681.87443885942	4185.98660581476
225	VLPFC	1	47	1584.67497436795	1671.79201109827
225	VLPFC	0	47	1601.69147601776	1718.9223922571
225	RTPJ	1	47	1703.6734780561	1753.17313081318
225	RTPJ	0	48	1678.72397952959	1803.14875740246
226	VLPFC	1	48	1451.75005539895	1588.35375658122
226	VLPFC	0	46	1517.15078145017	1677.96896042862
226	RTPJ	1	48	1393.81304584706	1487.28951734994
226	RTPJ	0	46	1369.99118044931	1516.93057065765
227	VLPFC	1	48	1608.92699373507	1535.83963207192
227	VLPFC	0	48	1889.84992222648	1961.71455562501
227	RTPJ	1	48	1749.72534787976	1636.98535376918
227	RTPJ	0	48	1847.68738528802	1867.41056082989
228	VLPFC	1	48	1468.70641895047	1591.45972101809
228	VLPFC	0	48	1500.80305472433	1650.34227331079
228	RTPJ	1	48	1419.48368160706	1541.64057083115
228	RTPJ	0	48	1492.83007044409	1663.82143322277
230	VLPFC	1	48	1860.67615185603	2162.38719920087
230	VLPFC	0	48	1822.28234394083	2160.86796429979
230	RTPJ	1	48	1656.97771411039	1942.35347977404
230	RTPJ	0	48	1944.84074257679	2316.19517474875
231	VLPFC	1	48	1299.67333389415	1395.08303778182
231	VLPFC	0	48	1392.55191992718	1529.12008147504
231	RTPJ	1	48	1327.83358275464	1386.36450324613
231	RTPJ	0	47	1308.31255042128	1456.5091543844
232	VLPFC	1	64	1149.65412931808	1123.91643408822
232	VLPFC	0	64	1386.18545483496	1470.50087683077
232	RTPJ	1	63	1146.58407188209	1123.3475037171
232	RTPJ	0	64	1270.7968108273	1317.40873670385
233	VLPFC	1	32	1468.36147426267	1450.4736334168
233	VLPFC	0	30	1470.35787030577	1547.79428815163
233	RTPJ	1	32	1209.33902609388	1237.73081859654
233	RTPJ	0	32	1444.4748513401	1551.47427880688
234	VLPFC	1	48	2919.85707401112	2729.97376080533
234	VLPFC	0	47	3004.1456336303	2847.08780099315
234	RTPJ	1	48	2801.80058633605	2599.28926998581
234	RTPJ	0	46	2957.90572256962	2830.69509325397
235	VLPFC	1	48	1437.49180925823	1551.40651179254
235	VLPFC	0	45	1488.00035136792	1659.72548944579
235	RTPJ	1	46	1387.868829098	1479.4571438179
235	RTPJ	0	44	1529.49016681609	1676.96404367676
236	VLPFC	1	48	1251.82710508625	1234.40309619406
236	VLPFC	0	48	1382.76933826816	1465.93922411491
236	RTPJ	1	48	1312.58146776018	1335.40378463255
236	RTPJ	0	48	1210.3093626523	1236.13644140848
237	VLPFC	1	47	1760.07199311922	1745.16941341996
237	VLPFC	0	47	1626.99759630118	1644.59036122481
237	RTPJ	1	47	1651.01250384093	1597.61883789016
237	RTPJ	0	45	1658.48500906866	1687.16997459819
238	VLPFC	1	48	1298.0366645915	1370.32073913
238	VLPFC	0	47	1184.53580716236	1336.18722241719
238	RTPJ	1	48	1274.35755527693	1274.88531147039
238	RTPJ	0	47	1101.9803702235	1213.23731244984
